surface,tourney_level,best_of,round,rank_diff,points_diff,age_diff,win_loss,ace_diff,df_diff,bp_diff,h2h_diff,player_elo_before,opponent_elo_before
0.0,2,3,6,3.0,6.3733,1.0,0,-10.0,2.0,-1.0,0,1009.26192,1009.26192
0.0,2,3,7,6.0,8.5537,9.4,1,-15.0,1.0,2.0,0,1025.26192,1025.26192
0.0,2,3,7,-6.0,-8.5537,-9.4,0,15.0,-1.0,-2.0,0,1025.26192,1025.26192
0.0,2,3,3,-15.0,-4.1589,-9.6,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,15.0,4.1589,9.6,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,-146.0,-6.0162,-8.6,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,146.0,6.0162,8.6,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,70.0,5.9558,0.5,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,-70.0,-5.9558,-0.5,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,65.0,5.5334,-5.0,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,-65.0,-5.5334,5.0,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,492.0,6.5309,-6.7,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,-492.0,-6.5309,6.7,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,-24.0,-5.1358,-1.0,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,24.0,5.1358,1.0,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,98.0,6.4184,1.5,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,-98.0,-6.4184,-1.5,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,60.0,5.8141,-2.5,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,-60.0,-5.8141,2.5,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,11.0,3.7842,-5.7,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,-11.0,-3.7842,5.7,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,93.0,6.3969,6.9,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,-93.0,-6.3969,-6.9,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,198.0,6.0039,6.5,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,-198.0,-6.0039,-6.5,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,-68.0,-5.5294,-1.7,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,68.0,5.5294,1.7,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,4,91.0,8.426,11.6,1,0.0,0.0,0.0,0,1000.0,1004.57143
0.0,2,3,4,-91.0,-8.426,-11.6,0,-0.0,-0.0,-0.0,0,1004.57143,1000.0
0.0,2,3,4,181.0,6.4708,12.9,1,26.0,-2.0,-1.0,0,1004.57143,1004.57143
0.0,2,3,4,-181.0,-6.4708,-12.9,0,-26.0,2.0,1.0,0,1004.57143,1004.57143
0.0,2,3,4,61.0,6.9027,-0.5,1,0.0,0.0,0.0,0,1000.0,1004.57143
0.0,2,3,4,-61.0,-6.9027,0.5,0,-0.0,-0.0,-0.0,0,1004.57143,1000.0
0.0,2,3,4,-14.0,-4.7958,6.3,1,-1.0,-3.0,6.0,0,1004.57143,1004.57143
0.0,2,3,4,14.0,4.7958,-6.3,0,1.0,3.0,-6.0,0,1004.57143,1004.57143
0.0,2,3,4,11.0,5.0304,7.9,1,1.0,1.0,-2.0,0,1004.57143,1004.57143
0.0,2,3,4,-11.0,-5.0304,-7.9,0,-1.0,-1.0,2.0,0,1004.57143,1004.57143
0.0,2,3,4,87.0,7.3601,1.3,1,0.0,0.0,0.0,0,1000.0,1004.57143
0.0,2,3,4,-87.0,-7.3601,-1.3,0,-0.0,-0.0,-0.0,0,1004.57143,1000.0
0.0,2,3,4,51.0,6.0981,4.9,1,2.0,-0.0,1.0,0,1004.57143,1004.57143
0.0,2,3,4,-51.0,-6.0981,-4.9,0,-2.0,0.0,-1.0,0,1004.57143,1004.57143
0.0,2,3,4,-142.0,-7.4989,-7.8,1,0.0,0.0,0.0,0,1004.57143,1000.0
0.0,2,3,4,142.0,7.4989,7.8,0,-0.0,-0.0,-0.0,0,1000.0,1004.57143
0.0,2,3,5,42.0,8.3584,-1.9,1,-13.5,2.0,-5.0,0,1004.63157,1009.14286
0.0,2,3,5,-42.0,-8.3584,1.9,0,13.5,-2.0,5.0,0,1009.14286,1004.63157
0.0,2,3,5,57.0,6.8865,-3.7,1,4.0,1.5,-2.5,0,1004.63157,1009.14286
0.0,2,3,5,-57.0,-6.8865,3.7,0,-4.0,-1.5,2.5,0,1009.14286,1004.63157
0.0,2,3,5,23.0,7.0193,-4.6,1,1.5,-3.0,3.5,0,1004.63157,1009.14286
