best_of,match_importance,rank_diff,points_diff,age_diff,win_loss,ace_diff,df_diff,bp_diff,h2h_diff,player_elo_before,opponent_elo_before,surface_elo_diff
5,70,-34.0,-0.0,-5.5,0,-0.0,-0.0,-0.0,-5,1025.14401,1039.99853,-14.8545
3,12,-3.0,0.0,-1.1,1,0.0,0.0,0.0,0,1000.0,1007.71259,0.0
3,12,3.0,-0.0,1.1,0,-0.0,-0.0,-0.0,0,1007.71259,1000.0,0.0
3,12,-24.0,0.0,-1.0,1,0.0,0.0,0.0,0,995.42857,1000.0,0.0
3,12,24.0,-0.0,1.0,0,-0.0,-0.0,-0.0,0,1000.0,995.42857,0.0
3,12,2.0,0.0,12.3,1,0.0,0.0,0.0,2,1000.0,1000.0,0.0
3,12,-2.0,-0.0,-12.3,0,-0.0,-0.0,-0.0,-2,1000.0,1000.0,0.0
3,12,-7.0,0.0,-4.8,1,0.0,0.0,0.0,0,1000.0,1000.0,0.0
3,12,7.0,-0.0,4.8,0,-0.0,-0.0,-0.0,0,1000.0,1000.0,0.0
3,12,-46.0,0.0,6.0,1,0.0,0.0,0.0,-2,1000.0,1000.0,0.0
3,12,46.0,-0.0,-6.0,0,-0.0,-0.0,-0.0,2,1000.0,1000.0,0.0
3,12,110.0,0.0,7.0,1,0.0,0.0,0.0,0,1000.0,1000.0,0.0
3,12,-110.0,-0.0,-7.0,0,-0.0,-0.0,-0.0,0,1000.0,1000.0,0.0
3,12,-20.0,0.0,5.3,1,0.0,0.0,0.0,0,1000.0,1000.0,0.0
3,12,20.0,-0.0,-5.3,0,-0.0,-0.0,-0.0,0,1000.0,1000.0,0.0
3,12,102.0,0.0,-9.9,1,0.0,0.0,0.0,1,1000.0,994.92064,0.0
3,12,-102.0,-0.0,9.9,0,-0.0,-0.0,-0.0,-1,994.92064,1000.0,0.0
3,12,6.0,0.0,-1.8,1,0.0,0.0,0.0,0,1000.0,1000.0,0.0
3,12,-6.0,-0.0,1.8,0,-0.0,-0.0,-0.0,0,1000.0,1000.0,0.0
3,12,27.0,0.0,-7.3,1,0.0,0.0,0.0,1,1000.0,994.82708,0.0
3,12,-27.0,-0.0,7.3,0,-0.0,-0.0,-0.0,-1,994.82708,1000.0,0.0
3,12,9.0,0.0,6.1,1,0.0,0.0,0.0,0,995.42857,1000.0,0.0
3,12,-9.0,-0.0,-6.1,0,-0.0,-0.0,-0.0,0,1000.0,995.42857,0.0
3,12,-3.0,0.0,6.2,1,0.0,0.0,0.0,-1,1000.0,1000.0,0.0
3,12,3.0,-0.0,-6.2,0,-0.0,-0.0,-0.0,1,1000.0,1000.0,0.0
3,12,-36.0,0.0,-7.8,1,0.0,0.0,0.0,0,1000.0,1000.0,0.0
3,12,36.0,-0.0,7.8,0,-0.0,-0.0,-0.0,0,1000.0,1000.0,0.0
3,18,-47.0,0.0,1.5,1,0.0,0.0,0.0,0,1004.67289,1000.0,4.57143
3,18,47.0,-0.0,-1.5,0,-0.0,-0.0,-0.0,0,1000.0,1004.67289,-4.57143
3,18,-54.0,0.0,-7.6,1,0.0,0.0,0.0,-1,1005.17292,1000.0,4.57143
3,18,54.0,-0.0,7.6,0,-0.0,-0.0,-0.0,1,1000.0,1005.17292,-4.57143
3,18,55.0,0.0,-4.4,1,0.0,0.0,0.0,0,1000.0,1004.57143,-4.57143
3,18,-55.0,-0.0,4.4,0,-0.0,-0.0,-0.0,0,1004.57143,1000.0,4.57143
3,18,29.0,0.0,0.7,1,0.0,0.0,0.0,0,1000.0,1004.57143,-4.57143
3,18,-29.0,-0.0,-0.7,0,-0.0,-0.0,-0.0,0,1004.57143,1000.0,4.57143
3,18,85.0,0.0,2.8,1,0.0,0.0,0.0,0,1000.0,1000.0,0.0
3,18,-85.0,-0.0,-2.8,0,-0.0,-0.0,-0.0,0,1000.0,1000.0,0.0
3,18,84.0,0.0,-4.1,1,0.0,0.0,0.0,1,1000.0,1004.57143,-4.57143
3,18,-84.0,-0.0,4.1,0,-0.0,-0.0,-0.0,-1,1004.57143,1000.0,4.57143
3,18,54.0,0.0,-8.1,1,0.0,0.0,0.0,1,1000.0,1000.0,0.0
3,18,-54.0,-0.0,8.1,0,-0.0,-0.0,-0.0,-1,1000.0,1000.0,0.0
3,18,38.0,0.0,-4.4,1,0.0,0.0,0.0,-1,1000.0,1004.57143,-4.57143
3,18,-38.0,-0.0,4.4,0,-0.0,-0.0,-0.0,1,1004.57143,1000.0,4.57143
3,18,66.0,0.0,-10.6,1,0.0,0.0,0.0,0,994.2948,1004.57143,-4.57143
3,18,-66.0,-0.0,10.6,0,-0.0,-0.0,-0.0,0,1004.57143,994.2948,4.57143
3,18,28.0,0.0,6.2,1,0.0,0.0,0.0,2,1000.0,1004.5046,-4.57143
3,18,-28.0,-0.0,-6.2,0,-0.0,-0.0,-0.0,-2,1004.5046,1000.0,4.57143
3,18,32.0,0.0,-10.4,1,0.0,0.0,0.0,0,1040.42657,1004.57143,-4.57143
3,18,-32.0,-0.0,10.4,0,-0.0,-0.0,-0.0,0,1004.57143,1040.42657,4.57143
3,18,33.0,0.0,2.5,1,0.0,0.0,0.0,3,1000.0,1004.50337,-4.57143
3,18,-33.0,-0.0,-2.5,0,-0.0,-0.0,-0.0,-3,1004.50337,1000.0,4.57143
3,18,19.0,0.0,1.2,1,0.0,0.0,0.0,-2,1000.0,1000.0,0.0
3,18,-19.0,-0.0,-1.2,0,-0.0,-0.0,-0.0,2,1000.0,1000.0,0.0
3,18,-67.0,0.0,-7.4,1,0.0,0.0,0.0,0,1005.17292,1000.0,4.57143
