surface,tourney_level,best_of,round,rank_diff,points_diff,age_diff,player_elo_before,opponent_elo_before
0.0,2,3,4,-11.0,152.0,7.9,1004.5714285714286,1004.5714285714286
0.0,2,3,4,11.0,-152.0,-7.9,1004.5714285714286,1004.5714285714286
0.0,2,3,4,-87.0,1571.0,1.3,1000.0,1004.5714285714286
0.0,2,3,4,87.0,-1571.0,-1.3,1004.5714285714286,1000.0
0.0,2,3,4,-51.0,444.0,4.9,1004.5714285714286,1004.5714285714286
0.0,2,3,4,51.0,-444.0,-4.9,1004.5714285714286,1004.5714285714286
0.0,2,3,4,142.0,-1805.0,-7.8,1004.5714285714286,1000.0
0.0,2,3,4,-142.0,1805.0,7.8,1000.0,1004.5714285714286
0.0,2,3,5,-42.0,4265.0,-1.9,1004.63157426221,1009.1428571428571
0.0,2,3,5,42.0,-4265.0,1.9,1009.1428571428571,1004.63157426221
0.0,2,3,5,-57.0,978.0,-3.7,1004.63157426221,1009.1428571428571
0.0,2,3,5,57.0,-978.0,3.7,1009.1428571428571,1004.63157426221
0.0,2,3,5,-23.0,1117.0,-4.6,1004.63157426221,1009.1428571428571
0.0,2,3,5,23.0,-1117.0,4.6,1009.1428571428571,1004.63157426221
0.0,2,3,5,120.0,-695.0,-6.1,1009.0492971794195,1009.1428571428571
0.0,2,3,5,-120.0,695.0,6.1,1009.1428571428571,1009.0492971794195
0.0,2,3,6,-18.0,3521.0,5.7,1009.261917707426,1009.261917707426
0.0,2,3,6,18.0,-3521.0,-5.7,1009.261917707426,1009.261917707426
0.0,2,3,6,141.0,-1785.0,-1.3,1025.0536057748575,1009.261917707426
0.0,2,3,6,-141.0,1785.0,1.3,1009.261917707426,1025.0536057748575
0.0,2,3,3,-67.0,10649.0,3.1,1000.0,1000.0
0.0,2,3,3,67.0,-10649.0,-3.1,1000.0,1000.0
0.0,2,3,3,124.0,-557.0,-9.7,1000.0,1000.0
0.0,2,3,3,-124.0,557.0,9.7,1000.0,1000.0
0.0,2,3,3,-3.0,110.0,6.4,1000.0,1000.0
0.0,2,3,3,3.0,-110.0,-6.4,1000.0,1000.0
0.0,2,3,3,-131.0,3670.0,6.5,1000.0,1000.0
0.0,2,3,3,131.0,-3670.0,-6.5,1000.0,1000.0
0.0,2,3,3,-33.0,405.0,1.5,1000.0,1000.0
0.0,2,3,3,33.0,-405.0,-1.5,1000.0,1000.0
0.0,2,3,3,35.0,-210.0,-3.0,1000.0,1000.0
0.0,2,3,3,-35.0,210.0,3.0,1000.0,1000.0
0.0,2,3,3,34.0,-634.0,-6.6,1000.0,1000.0
0.0,2,3,3,-34.0,634.0,6.6,1000.0,1000.0
0.0,2,3,3,-15.0,400.0,-0.4,1000.0,1000.0
0.0,2,3,3,15.0,-400.0,0.4,1000.0,1000.0
0.0,2,3,3,12.0,-163.0,-4.3,1000.0,1000.0
0.0,2,3,3,-12.0,163.0,4.3,1000.0,1000.0
0.0,2,3,3,38.0,-225.0,-2.9,1000.0,1000.0
0.0,2,3,3,-38.0,225.0,2.9,1000.0,1000.0
0.0,2,3,3,-41.0,3750.0,1.0,1000.0,1000.0
0.0,2,3,3,41.0,-3750.0,-1.0,1000.0,1000.0
0.0,2,3,3,17.0,-429.0,3.2,1000.0,1000.0
0.0,2,3,3,-17.0,429.0,-3.2,1000.0,1000.0
0.0,2,3,3,43.0,-208.0,-4.3,1000.0,1000.0
0.0,2,3,3,-43.0,208.0,4.3,1000.0,1000.0
0.0,2,3,3,-200.0,407.0,5.8,1000.0,1000.0
0.0,2,3,3,200.0,-407.0,-5.8,1000.0,1000.0
0.0,2,3,3,124.0,-6158.0,6.0,1000.0,1000.0
0.0,2,3,3,-124.0,6158.0,-6.0,1000.0,1000.0
0.0,2,3,7,-152.0,4795.0,4.3,1025.2619177074262,1040.326872047372
0.0,2,3,7,152.0,-4795.0,-4.3,1040.326872047372,1025.2619177074262
0.0,2,3,4,-56.0,10579.0,-1.3,1004.5714285714286,1000.0
0.0,2,3,4,56.0,-10579.0,1.3,1000.0,1004.5714285714286
0.0,2,3,4,-144.0,1027.0,13.0,1004.5714285714286,1004.5714285714286
0.0,2,3,4,144.0,-1027.0,-13.0,1004.5714285714286,1004.5714285714286
0.0,2,3,4,-23.0,2910.0,1.6,1004.5714285714286,1004.5714285714286
0.0,2,3,4,23.0,-2910.0,-1.6,1004.5714285714286,1004.5714285714286
0.0,2,3,4,40.0,-232.0,5.4,1004.5714285714286,1004.5714285714286
0.0,2,3,4,-40.0,232.0,-5.4,1004.5714285714286,1004.5714285714286
0.0,2,3,4,-26.0,540.0,-0.7,1004.5714285714286,1004.5714285714286
0.0,2,3,4,26.0,-540.0,0.7,1004.5714285714286,1004.5714285714286
0.0,2,3,4,-92.0,4055.0,1.5,1004.5714285714286,1004.5714285714286
0.0,2,3,4,92.0,-4055.0,-1.5,1004.5714285714286,1004.5714285714286
0.0,2,3,4,-72.0,402.0,4.2,1004.5714285714286,1004.5714285714286
0.0,2,3,4,72.0,-402.0,-4.2,1004.5714285714286,1004.5714285714286
0.0,2,3,4,-38.0,148.0,-4.5,1004.5714285714286,1004.5714285714286
0.0,2,3,4,38.0,-148.0,4.5,1004.5714285714286,1004.5714285714286
0.0,2,3,5,26.0,-10040.0,8.2,1009.1428571428571,1009.0492971794195
0.0,2,3,5,-26.0,10040.0,-8.2,1009.0492971794195,1009.1428571428571
0.0,2,3,5,-88.0,3496.0,2.7,1009.1428571428571,1009.1428571428571
0.0,2,3,5,88.0,-3496.0,-2.7,1009.1428571428571,1009.1428571428571
0.0,2,3,5,-19.0,3250.0,0.8,1009.1428571428571,1009.1428571428571
