surface,draw_size,tourney_level,player_seed,player_hand,player_ht,player_age,opponent_seed,opponent_hand,opponent_ht,opponent_age,best_of,round,player_rank,player_rank_points,opponent_rank,opponent_rank_points
0.0,28,2,0,0.0,185.0,18.7,0,0.0,191.0,27.3,3,3,227.0,210.0,81.0,619.0
0.0,28,2,0,0.0,191.0,27.3,0,0.0,185.0,18.7,3,3,81.0,619.0,227.0,210.0
0.0,28,2,8,1.0,193.0,31.6,0,0.0,185.0,31.1,3,3,46.0,855.0,116.0,470.0
0.0,28,2,0,0.0,185.0,31.1,8,1.0,193.0,31.6,3,3,116.0,470.0,46.0,855.0
0.0,28,2,0,0.0,175.0,24.5,0,0.0,198.0,29.5,3,3,83.0,605.0,148.0,353.0
0.0,28,2,0,0.0,198.0,29.5,0,0.0,175.0,24.5,3,3,148.0,353.0,83.0,605.0
0.0,28,2,0,1.0,198.0,21.4,0,0.0,178.0,28.1,3,3,65.0,741.0,557.0,56.0
0.0,28,2,0,0.0,178.0,28.1,0,1.0,198.0,21.4,3,3,557.0,56.0,65.0,741.0
0.0,28,2,0,0.0,190.0,27.7,7,0.0,191.0,28.7,3,3,79.0,621.0,55.0,790.0
0.0,28,2,7,0.0,191.0,28.7,0,0.0,190.0,27.7,3,3,55.0,790.0,79.0,621.0
0.0,28,2,6,0.0,180.0,31.3,0,0.0,180.0,29.8,3,3,38.0,993.0,136.0,381.0
0.0,28,2,0,0.0,180.0,29.8,6,0.0,180.0,31.3,3,3,136.0,381.0,38.0,993.0
0.0,28,2,0,0.0,188.0,23.4,0,0.0,190.0,25.9,3,3,49.0,841.0,109.0,507.0
0.0,28,2,0,0.0,190.0,25.9,0,0.0,188.0,23.4,3,3,109.0,507.0,49.0,841.0
0.0,28,2,0,0.0,188.0,25.4,0,1.0,185.0,31.1,3,3,102.0,539.0,113.0,496.0
0.0,28,2,0,1.0,185.0,31.1,0,0.0,188.0,25.4,3,3,113.0,496.0,102.0,539.0
0.0,28,2,5,0.0,188.0,31.5,0,0.0,185.0,24.6,3,3,36.0,1020.0,129.0,421.0
0.0,28,2,0,0.0,185.0,24.6,5,0.0,188.0,31.5,3,3,129.0,421.0,36.0,1020.0
0.0,28,2,0,0.0,180.0,26.6,0,0.0,188.0,20.1,3,3,87.0,576.0,285.0,172.0
0.0,28,2,0,0.0,188.0,20.1,0,0.0,180.0,26.6,3,3,285.0,172.0,87.0,576.0
0.0,28,2,0,0.0,181.0,25.4,0,0.0,185.0,27.1,3,3,156.0,325.0,88.0,576.0
0.0,28,2,0,0.0,185.0,27.1,0,0.0,181.0,25.4,3,3,88.0,576.0,156.0,325.0
0.0,28,2,1,0.0,185.0,33.4,3,0.0,196.0,24.0,3,7,2.0,9625.0,8.0,4440.0
0.0,28,2,3,0.0,196.0,24.0,1,0.0,185.0,33.4,3,7,8.0,4440.0,2.0,9625.0
0.0,28,2,1,0.0,183.0,29.7,0,0.0,188.0,18.1,3,4,4.0,5120.0,95.0,557.0
0.0,28,2,0,0.0,188.0,18.1,1,0.0,183.0,29.7,3,4,95.0,557.0,4.0,5120.0
0.0,28,2,8,1.0,193.0,31.6,0,0.0,185.0,18.7,3,4,46.0,855.0,227.0,210.0
0.0,28,2,0,0.0,185.0,18.7,8,1.0,193.0,31.6,3,4,227.0,210.0,46.0,855.0
0.0,28,2,4,0.0,180.0,24.0,0,0.0,175.0,24.5,3,4,22.0,1599.0,83.0,605.0
0.0,28,2,0,0.0,175.0,24.5,4,0.0,180.0,24.0,3,4,83.0,605.0,22.0,1599.0
0.0,28,2,0,0.0,190.0,27.7,0,1.0,198.0,21.4,3,4,79.0,621.0,65.0,741.0
0.0,28,2,0,1.0,198.0,21.4,0,0.0,190.0,27.7,3,4,65.0,741.0,79.0,621.0
0.0,28,2,6,0.0,180.0,31.3,0,0.0,188.0,23.4,3,4,38.0,993.0,49.0,841.0
0.0,28,2,0,0.0,188.0,23.4,6,0.0,180.0,31.3,3,4,49.0,841.0,38.0,993.0
0.0,28,2,3,0.0,183.0,26.7,0,0.0,188.0,25.4,3,4,15.0,2110.0,102.0,539.0
0.0,28,2,0,0.0,188.0,25.4,3,0.0,183.0,26.7,3,4,102.0,539.0,15.0,2110.0
0.0,28,2,5,0.0,188.0,31.5,0,0.0,180.0,26.6,3,4,36.0,1020.0,87.0,576.0
0.0,28,2,0,0.0,180.0,26.6,5,0.0,188.0,31.5,3,4,87.0,576.0,36.0,1020.0
0.0,28,2,0,0.0,181.0,25.4,2,1.0,188.0,33.2,3,4,156.0,325.0,14.0,2130.0
0.0,28,2,2,1.0,188.0,33.2,0,0.0,181.0,25.4,3,4,14.0,2130.0,156.0,325.0
0.0,28,2,1,0.0,183.0,29.7,8,1.0,193.0,31.6,3,5,4.0,5120.0,46.0,855.0
0.0,28,2,8,1.0,193.0,31.6,1,0.0,183.0,29.7,3,5,46.0,855.0,4.0,5120.0
0.0,28,2,4,0.0,180.0,24.0,0,0.0,190.0,27.7,3,5,22.0,1599.0,79.0,621.0
0.0,28,2,0,0.0,190.0,27.7,4,0.0,180.0,24.0,3,5,79.0,621.0,22.0,1599.0
0.0,28,2,3,0.0,183.0,26.7,6,0.0,180.0,31.3,3,5,15.0,2110.0,38.0,993.0
0.0,28,2,6,0.0,180.0,31.3,3,0.0,183.0,26.7,3,5,38.0,993.0,15.0,2110.0
0.0,28,2,0,0.0,181.0,25.4,5,0.0,188.0,31.5,3,5,156.0,325.0,36.0,1020.0
0.0,28,2,5,0.0,188.0,31.5,0,0.0,181.0,25.4,3,5,36.0,1020.0,156.0,325.0
0.0,28,2,1,0.0,183.0,29.7,4,0.0,180.0,24.0,3,6,4.0,5120.0,22.0,1599.0
0.0,28,2,4,0.0,180.0,24.0,1,0.0,183.0,29.7,3,6,22.0,1599.0,4.0,5120.0
0.0,28,2,0,0.0,181.0,25.4,3,0.0,183.0,26.7,3,6,156.0,325.0,15.0,2110.0
0.0,28,2,3,0.0,183.0,26.7,0,0.0,181.0,25.4,3,6,15.0,2110.0,156.0,325.0
0.0,32,2,1,0.0,188.0,27.6,0,0.0,183.0,24.5,3,3,1.0,11360.0,68.0,711.0
0.0,32,2,0,0.0,183.0,24.5,1,0.0,188.0,27.6,3,3,68.0,711.0,1.0,11360.0
0.0,32,2,0,0.0,185.0,22.8,0,0.0,183.0,32.5,3,3,171.0,293.0,47.0,850.0
0.0,32,2,0,0.0,183.0,32.5,0,0.0,185.0,22.8,3,3,47.0,850.0,171.0,293.0
0.0,32,2,7,0.0,208.0,35.8,0,0.0,193.0,29.4,3,3,27.0,1320.0,30.0,1210.0
0.0,32,2,0,0.0,193.0,29.4,7,0.0,208.0,35.8,3,3,30.0,1210.0,27.0,1320.0
0.0,32,2,4,0.0,175.0,32.7,0,0.0,193.0,26.2,3,3,10.0,4045.0,141.0,375.0
0.0,32,2,0,0.0,193.0,26.2,4,0.0,175.0,32.7,3,3,141.0,375.0,10.0,4045.0
0.0,32,2,0,1.0,188.0,31.1,0,0.0,185.0,29.6,3,3,33.0,1135.0,66.0,730.0
0.0,32,2,0,0.0,185.0,29.6,0,1.0,188.0,31.1,3,3,66.0,730.0,33.0,1135.0
0.0,32,2,0,0.0,196.0,30.0,0,0.0,183.0,33.0,3,3,98.0,549.0,63.0,759.0
0.0,32,2,0,0.0,183.0,33.0,0,0.0,196.0,30.0,3,3,63.0,759.0,98.0,549.0
0.0,32,2,0,0.0,193.0,24.6,5,0.0,178.0,31.2,3,3,58.0,781.0,24.0,1415.0
0.0,32,2,5,0.0,178.0,31.2,0,0.0,193.0,24.6,3,3,24.0,1415.0,58.0,781.0
0.0,32,2,6,0.0,183.0,28.5,0,0.0,180.0,28.9,3,3,26.0,1350.0,41.0,950.0
0.0,32,2,0,0.0,180.0,28.9,6,0.0,183.0,28.5,3,3,41.0,950.0,26.0,1350.0
0.0,32,2,0,0.0,183.0,29.2,0,0.0,178.0,33.5,3,3,52.0,810.0,40.0,973.0
0.0,32,2,0,0.0,178.0,33.5,0,0.0,183.0,29.2,3,3,40.0,973.0,52.0,810.0
0.0,32,2,0,0.0,188.0,27.8,0,0.0,185.0,30.7,3,3,99.0,545.0,61.0,770.0
0.0,32,2,0,0.0,185.0,30.7,0,0.0,188.0,27.8,3,3,61.0,770.0,99.0,545.0
0.0,32,2,3,0.0,196.0,29.3,0,0.0,185.0,28.3,3,3,7.0,4600.0,48.0,850.0
0.0,32,2,0,0.0,185.0,28.3,3,0.0,196.0,29.3,3,3,48.0,850.0,7.0,4600.0
0.0,32,2,0,0.0,190.0,30.8,8,0.0,188.0,27.6,3,3,45.0,870.0,28.0,1299.0
0.0,32,2,8,0.0,188.0,27.6,0,0.0,190.0,30.8,3,3,28.0,1299.0,45.0,870.0
0.0,32,2,0,0.0,193.0,26.6,0,0.0,185.0,30.9,3,3,117.0,468.0,74.0,676.0
0.0,32,2,0,0.0,185.0,30.9,0,0.0,193.0,26.6,3,3,74.0,676.0,117.0,468.0
0.0,32,2,0,0.0,183.0,30.0,0,0.0,180.0,24.2,3,3,89.0,575.0,289.0,168.0
0.0,32,2,0,0.0,180.0,24.2,0,0.0,183.0,30.0,3,3,289.0,168.0,89.0,575.0
0.0,32,2,0,1.0,193.0,34.5,2,1.0,185.0,28.5,3,3,127.0,427.0,3.0,6585.0
0.0,32,2,2,1.0,185.0,28.5,0,1.0,193.0,34.5,3,3,3.0,6585.0,127.0,427.0
0.0,28,2,1,0.0,183.0,29.7,0,0.0,181.0,25.4,3,7,4.0,5120.0,156.0,325.0
0.0,28,2,0,0.0,181.0,25.4,1,0.0,183.0,29.7,3,7,156.0,325.0,4.0,5120.0
0.0,32,2,1,0.0,188.0,27.6,0,0.0,193.0,28.9,3,4,1.0,11360.0,57.0,781.0
0.0,32,2,0,0.0,193.0,28.9,1,0.0,188.0,27.6,3,4,57.0,781.0,1.0,11360.0
0.0,32,2,7,0.0,208.0,35.8,0,0.0,185.0,22.8,3,4,27.0,1320.0,171.0,293.0
0.0,32,2,0,0.0,185.0,22.8,7,0.0,208.0,35.8,3,4,171.0,293.0,27.0,1320.0
0.0,32,2,4,0.0,175.0,32.7,0,1.0,188.0,31.1,3,4,10.0,4045.0,33.0,1135.0
0.0,32,2,0,1.0,188.0,31.1,4,0.0,175.0,32.7,3,4,33.0,1135.0,10.0,4045.0
0.0,32,2,0,0.0,196.0,30.0,0,0.0,193.0,24.6,3,4,98.0,549.0,58.0,781.0
0.0,32,2,0,0.0,193.0,24.6,0,0.0,196.0,30.0,3,4,58.0,781.0,98.0,549.0
0.0,32,2,6,0.0,183.0,28.5,0,0.0,183.0,29.2,3,4,26.0,1350.0,52.0,810.0
0.0,32,2,0,0.0,183.0,29.2,6,0.0,183.0,28.5,3,4,52.0,810.0,26.0,1350.0
0.0,32,2,3,0.0,196.0,29.3,0,0.0,188.0,27.8,3,4,7.0,4600.0,99.0,545.0
0.0,32,2,0,0.0,188.0,27.8,3,0.0,196.0,29.3,3,4,99.0,545.0,7.0,4600.0
0.0,32,2,0,0.0,190.0,30.8,0,0.0,193.0,26.6,3,4,45.0,870.0,117.0,468.0
0.0,32,2,0,0.0,193.0,26.6,0,0.0,190.0,30.8,3,4,117.0,468.0,45.0,870.0
0.0,32,2,0,0.0,183.0,30.0,0,1.0,193.0,34.5,3,4,89.0,575.0,127.0,427.0
0.0,32,2,0,1.0,193.0,34.5,0,0.0,183.0,30.0,3,4,127.0,427.0,89.0,575.0
0.0,32,2,7,0.0,208.0,35.8,1,0.0,188.0,27.6,3,5,27.0,1320.0,1.0,11360.0
0.0,32,2,1,0.0,188.0,27.6,7,0.0,208.0,35.8,3,5,1.0,11360.0,27.0,1320.0
0.0,32,2,4,0.0,175.0,32.7,0,0.0,196.0,30.0,3,5,10.0,4045.0,98.0,549.0
0.0,32,2,0,0.0,196.0,30.0,4,0.0,175.0,32.7,3,5,98.0,549.0,10.0,4045.0
0.0,32,2,3,0.0,196.0,29.3,6,0.0,183.0,28.5,3,5,7.0,4600.0,26.0,1350.0
0.0,32,2,6,0.0,183.0,28.5,3,0.0,196.0,29.3,3,5,26.0,1350.0,7.0,4600.0
0.0,32,2,0,0.0,190.0,30.8,0,0.0,183.0,30.0,3,5,45.0,870.0,89.0,575.0
0.0,32,2,0,0.0,183.0,30.0,0,0.0,190.0,30.8,3,5,89.0,575.0,45.0,870.0
0.0,32,2,4,0.0,175.0,32.7,7,0.0,208.0,35.8,3,6,10.0,4045.0,27.0,1320.0
0.0,32,2,7,0.0,208.0,35.8,4,0.0,175.0,32.7,3,6,27.0,1320.0,10.0,4045.0
0.0,32,2,3,0.0,196.0,29.3,0,0.0,190.0,30.8,3,6,7.0,4600.0,45.0,870.0
0.0,32,2,0,0.0,190.0,30.8,3,0.0,196.0,29.3,3,6,45.0,870.0,7.0,4600.0
0.0,28,2,0,0.0,198.0,26.3,0,0.0,193.0,29.0,3,3,338.0,135.0,69.0,699.0
0.0,28,2,0,0.0,193.0,29.0,0,0.0,198.0,26.3,3,3,69.0,699.0,338.0,135.0
0.0,28,2,0,0.0,183.0,27.0,0,0.0,185.0,28.3,3,3,66.0,705.0,48.0,850.0
0.0,28,2,0,0.0,185.0,28.3,0,0.0,183.0,27.0,3,3,48.0,850.0,66.0,705.0
0.0,28,2,6,0.0,180.0,29.0,0,0.0,183.0,29.3,3,3,29.0,1222.0,67.0,700.0
0.0,28,2,0,0.0,183.0,29.3,6,0.0,180.0,29.0,3,3,67.0,700.0,29.0,1222.0
0.0,28,2,0,0.0,193.0,24.5,0,0.0,190.0,30.8,3,3,55.0,785.0,43.0,915.0
0.0,28,2,0,0.0,190.0,30.8,0,0.0,193.0,24.5,3,3,43.0,915.0,55.0,785.0
0.0,28,2,0,0.0,203.0,24.1,0,0.0,193.0,19.7,3,3,42.0,915.0,50.0,830.0
0.0,28,2,0,0.0,193.0,19.7,0,0.0,203.0,24.1,3,3,50.0,830.0,42.0,915.0
0.0,28,2,5,0.0,188.0,27.6,0,0.0,178.0,33.5,3,3,28.0,1299.0,38.0,973.0
0.0,28,2,0,0.0,178.0,33.5,5,0.0,188.0,27.6,3,3,38.0,973.0,28.0,1299.0
0.0,28,2,7,0.0,188.0,27.9,0,0.0,198.0,27.2,3,3,31.0,1195.0,35.0,1090.0
0.0,28,2,0,0.0,198.0,27.2,7,0.0,188.0,27.9,3,3,35.0,1090.0,31.0,1195.0
0.0,28,2,0,1.0,193.0,31.6,0,0.0,193.0,27.2,3,3,45.0,890.0,81.0,625.0
0.0,28,2,0,0.0,193.0,27.2,0,1.0,193.0,31.6,3,3,81.0,625.0,45.0,890.0
0.0,28,2,0,0.0,196.0,22.2,0,0.0,191.0,27.4,3,3,71.0,692.0,83.0,619.0
0.0,28,2,0,0.0,191.0,27.4,0,0.0,196.0,22.2,3,3,83.0,619.0,71.0,692.0
0.0,28,2,0,0.0,193.0,28.9,8,1.0,191.0,25.5,3,3,92.0,564.0,34.0,1133.0
0.0,28,2,8,1.0,191.0,25.5,0,0.0,193.0,28.9,3,3,34.0,1133.0,92.0,564.0
0.0,28,2,0,0.0,180.0,28.9,0,1.0,185.0,33.4,3,3,40.0,950.0,70.0,693.0
0.0,28,2,0,1.0,185.0,33.4,0,0.0,180.0,28.9,3,3,70.0,693.0,40.0,950.0
0.0,28,2,0,0.0,183.0,29.2,0,0.0,194.0,29.4,3,3,51.0,827.0,80.0,628.0
0.0,28,2,0,0.0,194.0,29.4,0,0.0,183.0,29.2,3,3,80.0,628.0,51.0,827.0
0.0,32,2,4,0.0,175.0,32.7,3,0.0,196.0,29.3,3,7,10.0,4045.0,7.0,4600.0
0.0,32,2,3,0.0,196.0,29.3,4,0.0,175.0,32.7,3,7,7.0,4600.0,10.0,4045.0
0.0,28,2,0,0.0,198.0,26.3,1,0.0,178.0,27.6,3,4,338.0,135.0,18.0,1790.0
0.0,28,2,1,0.0,178.0,27.6,0,0.0,198.0,26.3,3,4,18.0,1790.0,338.0,135.0
0.0,28,2,0,0.0,183.0,27.0,6,0.0,180.0,29.0,3,4,66.0,705.0,29.0,1222.0
0.0,28,2,6,0.0,180.0,29.0,0,0.0,183.0,27.0,3,4,29.0,1222.0,66.0,705.0
0.0,28,2,4,0.0,185.0,33.0,0,0.0,193.0,24.5,3,4,27.0,1345.0,55.0,785.0
0.0,28,2,0,0.0,193.0,24.5,4,0.0,185.0,33.0,3,4,55.0,785.0,27.0,1345.0
0.0,28,2,5,0.0,188.0,27.6,0,0.0,203.0,24.1,3,4,28.0,1299.0,42.0,915.0
0.0,28,2,0,0.0,203.0,24.1,5,0.0,188.0,27.6,3,4,42.0,915.0,28.0,1299.0
0.0,28,2,0,1.0,193.0,31.6,7,0.0,188.0,27.9,3,4,45.0,890.0,31.0,1195.0
0.0,28,2,7,0.0,188.0,27.9,0,1.0,193.0,31.6,3,4,31.0,1195.0,45.0,890.0
0.0,28,2,0,0.0,196.0,22.2,3,0.0,178.0,31.2,3,4,71.0,692.0,24.0,1415.0
0.0,28,2,3,0.0,178.0,31.2,0,0.0,196.0,22.2,3,4,24.0,1415.0,71.0,692.0
0.0,28,2,0,0.0,193.0,28.9,0,0.0,180.0,28.9,3,4,92.0,564.0,40.0,950.0
0.0,28,2,0,0.0,180.0,28.9,0,0.0,193.0,28.9,3,4,40.0,950.0,92.0,564.0
0.0,28,2,0,0.0,183.0,29.2,2,0.0,180.0,24.0,3,4,51.0,827.0,22.0,1669.0
0.0,28,2,2,0.0,180.0,24.0,0,0.0,183.0,29.2,3,4,22.0,1669.0,51.0,827.0
0.0,28,2,0,0.0,183.0,27.0,0,0.0,198.0,26.3,3,5,66.0,705.0,338.0,135.0
0.0,28,2,0,0.0,198.0,26.3,0,0.0,183.0,27.0,3,5,338.0,135.0,66.0,705.0
0.0,28,2,5,0.0,188.0,27.6,4,0.0,185.0,33.0,3,5,28.0,1299.0,27.0,1345.0
0.0,28,2,4,0.0,185.0,33.0,5,0.0,188.0,27.6,3,5,27.0,1345.0,28.0,1299.0
0.0,28,2,0,1.0,193.0,31.6,0,0.0,196.0,22.2,3,5,45.0,890.0,71.0,692.0
0.0,28,2,0,0.0,196.0,22.2,0,1.0,193.0,31.6,3,5,71.0,692.0,45.0,890.0
0.0,28,2,0,0.0,193.0,28.9,0,0.0,183.0,29.2,3,5,92.0,564.0,51.0,827.0
0.0,28,2,0,0.0,183.0,29.2,0,0.0,193.0,28.9,3,5,51.0,827.0,92.0,564.0
0.0,28,2,0,0.0,183.0,27.0,5,0.0,188.0,27.6,3,6,66.0,705.0,28.0,1299.0
0.0,28,2,5,0.0,188.0,27.6,0,0.0,183.0,27.0,3,6,28.0,1299.0,66.0,705.0
0.0,28,2,0,0.0,193.0,28.9,0,1.0,193.0,31.6,3,6,92.0,564.0,45.0,890.0
0.0,28,2,0,1.0,193.0,31.6,0,0.0,193.0,28.9,3,6,45.0,890.0,92.0,564.0
0.0,28,2,0,0.0,191.0,27.2,0,0.0,190.0,25.9,3,3,426.0,95.0,109.0,507.0
0.0,28,2,0,0.0,190.0,25.9,0,0.0,191.0,27.2,3,3,109.0,507.0,426.0,95.0
0.0,28,2,0,1.0,188.0,26.9,0,0.0,183.0,33.0,3,3,61.0,755.0,60.0,759.0
0.0,28,2,0,0.0,183.0,33.0,0,1.0,188.0,26.9,3,3,60.0,759.0,61.0,755.0
0.0,28,2,9,0.0,180.0,31.4,0,0.0,185.0,30.7,3,3,46.0,888.0,59.0,770.0
0.0,28,2,0,0.0,185.0,30.7,9,0.0,180.0,31.4,3,3,59.0,770.0,46.0,888.0
0.0,28,2,0,1.0,180.0,26.5,0,1.0,193.0,24.2,3,3,44.0,913.0,57.0,775.0
0.0,28,2,0,1.0,193.0,24.2,0,1.0,180.0,26.5,3,3,57.0,775.0,44.0,913.0
0.0,28,2,0,1.0,185.0,31.1,0,0.0,180.0,27.7,3,3,112.0,496.0,578.0,53.0
0.0,28,2,0,0.0,180.0,27.7,0,1.0,185.0,31.1,3,3,578.0,53.0,112.0,496.0
0.0,28,2,0,1.0,203.0,27.6,6,0.0,188.0,27.1,3,3,101.0,540.0,32.0,1175.0
0.0,28,2,6,0.0,188.0,27.1,0,1.0,203.0,27.6,3,3,32.0,1175.0,101.0,540.0
0.0,28,2,8,0.0,188.0,25.0,0,0.0,185.0,25.7,3,3,39.0,968.0,52.0,822.0
0.0,28,2,0,0.0,185.0,25.7,8,0.0,188.0,25.0,3,3,52.0,822.0,39.0,968.0
0.0,28,2,0,0.0,188.0,23.5,0,0.0,188.0,18.1,3,3,49.0,841.0,90.0,577.0
0.0,28,2,0,0.0,188.0,18.1,0,0.0,188.0,23.5,3,3,90.0,577.0,49.0,841.0
0.0,28,2,0,0.0,193.0,24.7,0,0.0,185.0,21.3,3,3,54.0,789.0,37.0,977.0
0.0,28,2,0,0.0,185.0,21.3,0,0.0,193.0,24.7,3,3,37.0,977.0,54.0,789.0
0.0,28,2,0,0.0,170.0,22.4,7,0.0,188.0,31.6,3,3,58.0,775.0,36.0,1020.0
0.0,28,2,7,0.0,188.0,31.6,0,0.0,170.0,22.4,3,3,36.0,1020.0,58.0,775.0
0.0,28,2,0,1.0,183.0,25.4,0,0.0,178.0,30.3,3,3,56.0,782.0,95.0,559.0
0.0,28,2,0,0.0,178.0,30.3,0,1.0,183.0,25.4,3,3,95.0,559.0,56.0,782.0
0.0,28,2,0,1.0,198.0,21.5,0,1.0,188.0,27.0,3,3,63.0,743.0,62.0,753.0
