best_of,match_importance,rank_diff,points_diff,age_diff,win_loss,ace_diff,df_diff,bp_diff,h2h_diff,player_elo_before,opponent_elo_before,surface_elo_diff
3,18,80.0,5.9636,-6.1,1,,,,0,1500.0,1500.0,0.0
3,18,-80.0,-5.9636,6.1,0,,,,0,1500.0,1500.0,-0.0
3,18,18.0,5.4337,-1.0,1,,,,0,1500.0,1500.0,0.0
3,18,-18.0,-5.4337,1.0,0,,,,0,1500.0,1500.0,-0.0
3,36,-9.0,-4.8675,1.7,1,,,,0,1500.0,1500.0,0.0
3,36,9.0,4.8675,-1.7,0,,,,0,1500.0,1500.0,-0.0
3,18,30.0,5.6384,0.4,1,,,,0,1500.0,1500.0,0.0
3,18,-30.0,-5.6384,-0.4,0,,,,0,1500.0,1500.0,-0.0
3,18,-101.0,-5.9965,-10.5,1,,,,0,1500.0,1500.0,0.0
3,18,101.0,5.9965,10.5,0,,,,0,1500.0,1500.0,-0.0
3,18,113.0,8.611,-0.7,1,,,,0,1500.0,1500.0,0.0
3,18,-113.0,-8.611,0.7,0,,,,0,1500.0,1500.0,-0.0
3,18,-48.0,-7.5679,4.1,1,,,,0,1500.0,1500.0,0.0
3,18,48.0,7.5679,-4.1,0,,,,0,1500.0,1500.0,-0.0
3,48,64.0,8.7134,0.4,1,,,,0,1500.0,1502.66667,-2.66667
3,48,-64.0,-8.7134,-0.4,0,,,,0,1502.66667,1500.0,2.66667
3,48,43.0,7.3454,-6.5,1,-6.0,-4.0,-3.0,0,1502.66667,1502.66667,0.0
3,48,-43.0,-7.3454,6.5,0,6.0,4.0,3.0,0,1502.66667,1502.66667,-0.0
3,24,581.0,8.7415,5.4,1,-4.0,-6.0,-2.0,0,1502.66667,1502.66667,0.0
3,24,-581.0,-8.7415,-5.4,0,4.0,6.0,2.0,0,1502.66667,1502.66667,-0.0
3,24,95.0,8.3109,5.7,1,-6.0,4.0,-6.0,0,1502.66667,1502.66667,0.0
3,24,-95.0,-8.3109,-5.7,0,6.0,-4.0,6.0,0,1502.66667,1502.66667,-0.0
3,48,222.0,8.0956,6.1,1,0.0,-0.0,1.0,0,1502.66667,1502.66667,0.0
3,48,-222.0,-8.0956,-6.1,0,-0.0,0.0,-1.0,0,1502.66667,1502.66667,-0.0
3,24,-11.0,-4.3307,1.5,1,0.0,6.0,-5.0,0,1502.66667,1502.66667,0.0
