tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,player_id,player_seed,player_entry,player_name,player_hand,player_ht,player_ioc,player_age,player_rank,player_rank_points,opponent_id,opponent_seed,opponent_entry,opponent_name,opponent_hand,opponent_ht,opponent_ioc,opponent_age,opponent_rank,opponent_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2025-9900,United Cup,Hard,18,A,20241229,1,105807,,,Pablo Carreno Busta,R,188,ESP,33.467,196,292,207686,,,Alexander Shevchenko,R,188,KAZ,24.082,78,715,6-2 6-1,3,RR,64,3,0,40,27,21,9,8,1,2,3,4,42,24,14,4,7,2,7
2025-9900,United Cup,Hard,18,A,20241229,2,111190,,,Zhizhen Zhang,R,193,CHN,28.203,45,1155,106329,,,Thiago Monteiro,L,183,BRA,30.582,109,566,6-3 6-0,3,RR,54,10,0,39,30,26,7,8,0,0,3,2,35,22,13,3,7,1,5
2025-9900,United Cup,Hard,18,A,20241229,3,126774,,,Stefanos Tsitsipas,R,193,GRE,26.382,11,3165,105807,,,Pablo Carreno Busta,R,188,ESP,33.467,196,292,6-4 4-6 6-3,3,RR,128,13,6,84,49,40,19,15,1,3,2,3,92,70,48,9,14,6,9
2025-9900,United Cup,Hard,18,A,20241229,4,106432,,,Borna Coric,R,188,CRO,28.123,90,639,200000,,,Felix Auger-Aliassime,R,193,CAN,24.392,29,1635,0-6 6-4 6-4,3,RR,139,1,6,81,40,26,17,13,5,10,13,3,90,67,43,11,13,8,12
2025-9900,United Cup,Hard,18,A,20241229,5,200005,,,Ugo Humbert,L,188,FRA,26.511,14,2765,208502,,,Dominic Stricker,L,183,SUI,22.371,299,173,6-3 7-5,3,RR,72,10,2,51,34,30,10,11,0,1,10,1,56,34,27,10,10,1,4
2025-9900,United Cup,Hard,18,A,20241229,6,200282,,,Alex de Minaur,R,183,AUS,25.864,9,3745,144869,,,Tomas Martin Etcheverry,R,196,ARG,25.451,39,1315,6-1 6-4,3,RR,76,8,2,51,26,23,15,9,0,0,2,1,47,28,20,7,8,3,6
2025-9900,United Cup,Hard,18,A,20241229,7,200000,,,Felix Auger-Aliassime,R,193,CAN,24.392,29,1635,126203,,,Taylor Fritz,R,196,USA,27.17,4,5100,4-6 7-5 6-3,3,RR,139,19,4,89,59,47,15,16,2,4,13,1,92,58,42,16,15,1,4
2025-9900,United Cup,Hard,18,A,20241229,8,207925,,,Flavio Cobolli,R,183,ITA,22.65,32,1472,208502,,,Dominic Stricker,L,183,SUI,22.371,299,173,6-3 7-6(2),3,RR,89,5,3,67,36,27,22,10,5,5,6,0,62,45,33,7,11,0,2
2025-9900,United Cup,Hard,18,A,20241229,9,134770,,,Casper Ruud,R,183,NOR,26.021,6,4255,207830,,,Tomas Machac,R,183,CZE,24.211,25,1758,7-6(6) 5-7 6-4,3,RR,174,12,6,116,75,56,19,17,6,9,7,13,111,70,50,17,17,2,5
2025-9900,United Cup,Hard,18,A,20241229,10,100644,,,Alexander Zverev,R,198,GER,27.693,2,7915,106329,,,Thiago Monteiro,L,183,BRA,30.582,109,566,6-4 6-4,3,RR,77,11,3,51,32,29,11,10,0,0,5,1,53,32,24,11,10,2,4
2025-9900,United Cup,Hard,18,A,20241229,11,134770,,,Casper Ruud,R,183,NOR,26.021,6,4255,128034,,,Hubert Hurkacz,R,196,POL,27.88,16,2640,7-5 6-3,3,RR,83,4,0,61,44,34,12,11,2,2,8,0,58,40,28,8,10,4,6
2025-9900,United Cup,Hard,18,A,20241229,12,207686,,,Alexander Shevchenko,R,188,KAZ,24.082,78,715,126774,,,Stefanos Tsitsipas,R,193,GRE,26.382,11,3165,6-4 7-6(0),3,RR,112,2,3,70,45,31,19,11,1,2,7,4,77,42,30,16,11,2,4
2025-9900,United Cup,Hard,18,A,20241229,13,100644,,,Alexander Zverev,R,198,GER,27.693,2,7915,111190,,,Zhizhen Zhang,R,193,CHN,28.203,45,1155,2-6 6-0 6-2,3,RR,125,6,3,66,47,36,8,11,3,5,3,1,78,48,31,11,11,4,9
2025-9900,United Cup,Hard,18,A,20241229,14,144869,,,Tomas Martin Etcheverry,R,196,ARG,25.451,39,1315,126129,,,Billy Harris,R,193,GBR,29.927,125,474,3-6 6-3 6-2,3,RR,164,10,1,93,61,44,18,13,8,9,9,4,90,50,37,18,13,6,9
2025-9900,United Cup,Hard,18,A,20241229,15,126203,,,Taylor Fritz,R,196,USA,27.17,4,5100,106432,,,Borna Coric,R,188,CRO,28.123,90,639,6-3 6-2,3,RR,91,5,1,56,28,22,17,9,2,2,3,5,54,27,19,11,8,4,7
2025-9900,United Cup,Hard,18,A,20241229,16,207925,,,Flavio Cobolli,R,183,ITA,22.65,32,1472,200005,,,Ugo Humbert,L,188,FRA,26.511,14,2765,3-6 7-6(8) 6-2,3,RR,126,11,0,89,57,41,21,14,2,4,10,2,83,46,36,24,15,1,4
2025-9900,United Cup,Hard,18,A,20241229,17,126203,,,Taylor Fritz,R,196,USA,27.17,4,5100,111190,,,Zhizhen Zhang,R,193,CHN,28.203,45,1155,6-4 6-4,3,RR,79,8,1,44,33,30,10,10,0,0,8,0,72,48,36,9,10,7,9
2025-9900,United Cup,Hard,18,A,20241229,18,207686,,,Alexander Shevchenko,R,188,KAZ,24.082,78,715,109054,,,Daniel Masur,R,183,GER,30.146,254,217,6-7(5) 6-2 6-2,3,RR,133,11,4,84,57,42,16,14,4,5,3,2,104,72,44,15,14,8,13
2025-9900,United Cup,Hard,18,A,20241229,19,207830,,,Tomas Machac,R,183,CZE,24.211,25,1758,128034,,,Hubert Hurkacz,R,196,POL,27.88,16,2640,7-5 3-6 6-4,3,RR,115,8,5,83,52,43,14,15,2,3,14,3,85,55,40,21,16,3,5
2025-9900,United Cup,Hard,18,A,20241229,20,200282,,,Alex de Minaur,R,183,AUS,25.864,9,3745,126129,,,Billy Harris,R,193,GBR,29.927,125,474,6-2 6-1,3,RR,76,6,2,40,19,17,13,7,3,3,3,1,56,36,17,9,8,2,7
2025-9900,United Cup,Hard,18,A,20241229,21,128034,,,Hubert Hurkacz,R,196,POL,27.88,16,2640,126129,,,Billy Harris,R,193,GBR,29.927,125,474,7-6(3) 7-5,3,RR,105,18,0,67,51,45,9,12,3,3,7,2,79,54,42,12,12,2,3
2025-9900,United Cup,Hard,18,A,20241229,22,207830,,,Tomas Machac,R,183,CZE,24.211,25,1758,207925,,,Flavio Cobolli,R,183,ITA,22.65,32,1472,6-1 6-2,3,RR,54,9,2,43,27,23,11,8,0,0,1,4,35,19,10,6,7,0,4
2025-9900,United Cup,Hard,18,A,20241229,23,126203,,,Taylor Fritz,R,196,USA,27.17,4,5100,207830,,,Tomas Machac,R,183,CZE,24.211,25,1758,6-7(4) 6-5 RET,3,RR,111,15,3,79,57,43,9,11,8,10,5,2,79,52,35,14,12,1,4
2025-9900,United Cup,Hard,18,A,20241229,24,128034,,,Hubert Hurkacz,R,196,POL,27.88,16,2640,207686,,,Alexander Shevchenko,R,188,KAZ,24.082,78,715,6-3 6-2,3,RR,58,10,0,46,35,28,8,9,0,0,1,1,49,34,18,9,8,1,4
2025-9900,United Cup,Hard,18,A,20241229,25,126203,,,Taylor Fritz,R,196,USA,27.17,4,5100,128034,,,Hubert Hurkacz,R,196,POL,27.88,16,2640,6-4 5-7 7-6(4),3,RR,138,13,3,96,62,51,20,17,0,1,17,0,96,64,51,20,17,1,2
2025-339,Brisbane,Hard,32,A,20241229,1,126846,,,Aleksandar Vukic,R,188,AUS,28.731,68,778,105676,,,David Goffin,R,180,BEL,34.062,52,1037,6-2 6-3,3,R32,82,11,1,57,31,25,15,9,3,3,3,2,61,35,18,15,8,2,5
2025-339,Brisbane,Hard,32,A,20241229,2,210506,,,Alex Michelsen,R,193,USA,20.345,41,1245,106331,,,Christopher O'Connell,R,183,AUS,30.574,64,795,6-4 4-6 7-6(10),3,R32,144,7,2,92,49,38,25,16,3,6,13,3,101,56,47,21,16,2,5
2025-339,Brisbane,Hard,32,A,20241229,3,126127,,,Benjamin Bonzi,R,183,FRA,28.556,75,730,126214,,,Alejandro Tabilo,L,188,CHI,27.576,23,1943,6-7(8) 7-6(5) 6-4,3,R32,168,15,2,110,72,57,23,17,3,4,18,7,125,84,66,16,17,5,7
2025-339,Brisbane,Hard,32,A,20241229,4,106415,,,Yoshihito Nishioka,L,170,JPN,29.257,69,776,126239,,,Arthur Rinderknech,R,196,FRA,29.437,59,927,6-3 6-4,3,R32,74,1,0,50,31,28,13,10,0,0,6,1,51,31,23,11,9,1,3
2025-339,Brisbane,Hard,32,A,20241229,5,111442,,,Jordan Thompson,R,183,AUS,30.694,26,1745,126610,,,Matteo Berrettini,R,196,ITA,28.715,34,1380,3-6 6-3 6-4,3,R32,134,6,4,93,56,41,16,14,2,4,8,1,76,49,41,13,14,2,5
2025-339,Brisbane,Hard,32,A,20241229,6,111797,,,Nicolas Jarry,R,201,CHI,29.218,35,1370,208363,,,Mariano Navone,R,178,ARG,23.836,47,1148,7-5 7-6(7),3,R32,108,7,1,75,47,39,17,12,3,4,10,1,77,49,37,15,12,1,3
2025-339,Brisbane,Hard,32,A,20241229,7,105777,,,Grigor Dimitrov,R,191,BUL,33.624,10,3350,105870,,,Yannick Hanfmann,R,193,GER,33.128,96,627,7-6(5) 6-3,3,R32,107,9,3,63,38,33,10,10,2,3,4,3,95,64,40,14,11,7,10
2025-339,Brisbane,Hard,32,A,20241229,8,208103,,,Jiri Lehecka,R,185,CZE,23.14,28,1660,208029,,,Holger Rune,R,188,DEN,21.67,13,3025,7-5 6-3,3,R32,84,5,1,68,43,29,14,10,7,9,1,2,62,40,21,11,11,1,6
2025-339,Brisbane,Hard,32,A,20241229,9,124187,,,Reilly Opelka,R,211,USA,27.337,293,176,144870,,,Federico Agustin Gomez,R,191,ARG,28.09,137,442,7-5 6-4,3,R32,75,9,1,49,29,27,17,11,0,0,7,2,62,41,31,11,11,3,5
2025-339,Brisbane,Hard,32,A,20241229,10,208286,,,Matteo Arnaldi,R,185,ITA,23.849,37,1345,200615,,,Alexei Popyrin,R,196,AUS,25.402,24,1865,6-3 6-2,3,R32,69,7,3,54,24,17,21,9,2,2,5,2,41,29,19,5,8,0,3
2025-339,Brisbane,Hard,32,A,20241229,11,126207,,,Frances Tiafoe,R,188,USA,26.94,18,2585,200443,,,Adam Walton,R,183,AUS,25.703,93,636,7-6(5) 6-3,3,R32,90,13,1,66,46,37,11,11,3,4,13,4,66,38,30,11,10,2,4
2025-339,Brisbane,Hard,32,A,20241229,12,210150,,,Jakub Mensik,R,196,CZE,19.326,48,1136,105062,,,Mikhail Kukushkin,R,183,KAZ,37.01,113,542,7-6(3) 6-4,3,R32,94,13,2,68,42,33,15,11,1,2,2,3,76,47,30,17,11,2,4
2025-339,Brisbane,Hard,32,A,20241229,13,105583,,,Dusan Lajovic,R,183,SRB,34.5,81,710,209070,,,Arthur Cazaux,R,183,FRA,22.352,63,807,6-4 6-4,3,R32,101,1,1,61,41,27,15,10,8,9,8,6,81,46,33,13,10,7,10
2025-339,Brisbane,Hard,32,A,20241229,14,208659,,,Giovanni Mpetshi Perricard,R,203,FRA,21.478,31,1561,106401,,,Nick Kyrgios,R,193,AUS,29.676,,,7-6(2) 6-7(4) 7-6(3),3,R32,147,36,7,111,73,65,24,18,2,2,15,0,107,81,67,18,18,2,2
2025-339,Brisbane,Hard,32,A,20241229,15,104792,,,Gael Monfils,R,193,FRA,38.327,55,1005,210460,,,Nishesh Basavareddy,R,180,USA,19.661,138,440,6-4 4-6 6-1,3,R32,109,18,0,77,52,40,13,14,4,7,4,1,74,49,34,9,13,2,7
2025-339,Brisbane,Hard,32,A,20241229,16,104925,,,Novak Djokovic,R,188,SRB,37.607,7,3910,208014,,,Rinky Hijikata,R,178,AUS,23.847,73,746,6-3 6-3,3,R32,74,12,0,47,31,25,12,9,0,0,7,1,54,37,22,8,9,2,5
2025-339,Brisbane,Hard,32,A,20241229,17,208103,,,Jiri Lehecka,R,185,CZE,23.14,28,1660,106415,,,Yoshihito Nishioka,L,170,JPN,29.257,69,776,6-2 6-7(5) 6-4,3,R16,139,17,3,81,51,45,17,15,2,3,3,3,107,75,49,16,15,8,12
2025-339,Brisbane,Hard,32,A,20241229,18,111797,,,Nicolas Jarry,R,201,CHI,29.218,35,1370,126127,,,Benjamin Bonzi,R,183,FRA,28.556,75,730,6-2 6-3,3,R16,65,10,0,43,30,27,6,9,0,1,4,2,51,35,18,9,8,3,7
2025-339,Brisbane,Hard,32,A,20241229,19,105777,,,Grigor Dimitrov,R,191,BUL,33.624,10,3350,126846,,,Aleksandar Vukic,R,188,AUS,28.731,68,778,6-2 7-6(5),3,R16,83,12,1,53,33,31,13,10,0,0,5,4,74,44,31,15,10,8,10
2025-339,Brisbane,Hard,32,A,20241229,20,111442,,,Jordan Thompson,R,183,AUS,30.694,26,1745,210506,,,Alex Michelsen,R,193,USA,20.345,41,1245,7-5 6-3,3,R16,102,3,1,60,37,28,15,10,6,7,4,2,65,46,29,9,11,3,7
2025-339,Brisbane,Hard,32,A,20241229,21,210150,,,Jakub Mensik,R,196,CZE,19.326,48,1136,105583,,,Dusan Lajovic,R,183,SRB,34.5,81,710,6-3 6-2,3,R16,65,4,0,51,38,27,9,9,2,3,5,1,55,43,21,6,8,5,9
2025-339,Brisbane,Hard,32,A,20241229,22,124187,,,Reilly Opelka,R,211,USA,27.337,293,176,208286,,,Matteo Arnaldi,R,185,ITA,23.849,37,1345,7-6(9) 7-6(4),3,R16,116,25,6,86,58,49,13,12,1,2,8,2,75,40,34,21,12,1,2
2025-339,Brisbane,Hard,32,A,20241229,23,208659,,,Giovanni Mpetshi Perricard,R,203,FRA,21.478,31,1561,126207,,,Frances Tiafoe,R,188,USA,26.94,18,2585,6-4 7-6(4),3,R16,92,20,4,75,50,40,11,11,2,2,6,2,72,38,31,16,11,2,3
2025-339,Brisbane,Hard,32,A,20241229,24,104925,,,Novak Djokovic,R,188,SRB,37.607,7,3910,104792,,,Gael Monfils,R,193,FRA,38.327,55,1005,6-3 6-3,3,R16,72,5,1,52,34,26,12,9,1,1,4,4,48,34,21,6,9,0,3
2025-339,Brisbane,Hard,32,A,20241229,25,208103,,,Jiri Lehecka,R,185,CZE,23.14,28,1660,111797,,,Nicolas Jarry,R,201,CHI,29.218,35,1370,6-4 6-4,3,QF,89,10,2,66,39,31,14,10,5,5,8,2,62,39,28,11,10,3,5
2025-339,Brisbane,Hard,32,A,20241229,26,105777,,,Grigor Dimitrov,R,191,BUL,33.624,10,3350,111442,,,Jordan Thompson,R,183,AUS,30.694,26,1745,6-1 2-1 RET,3,QF,43,1,1,31,21,19,5,5,0,0,1,1,26,12,7,6,5,1,4
2025-339,Brisbane,Hard,32,A,20241229,27,208659,,,Giovanni Mpetshi Perricard,R,203,FRA,21.478,31,1561,210150,,,Jakub Mensik,R,196,CZE,19.326,48,1136,7-5 7-6(5),3,QF,92,19,2,72,47,37,18,12,0,0,10,5,78,48,38,16,12,1,2
2025-339,Brisbane,Hard,32,A,20241229,28,124187,,,Reilly Opelka,R,211,USA,27.337,293,176,104925,,,Novak Djokovic,R,188,SRB,37.607,7,3910,7-6(6) 6-3,3,QF,100,16,1,64,49,38,13,11,1,1,8,1,73,53,38,12,10,4,5
2025-339,Brisbane,Hard,32,A,20241229,29,208103,,,Jiri Lehecka,R,185,CZE,23.14,28,1660,105777,,,Grigor Dimitrov,R,191,BUL,33.624,10,3350,6-4 4-4 RET,3,SF,83,4,3,52,26,22,17,9,0,0,6,2,49,32,24,12,9,1,2
2025-339,Brisbane,Hard,32,A,20241229,30,124187,,,Reilly Opelka,R,211,USA,27.337,293,176,208659,,,Giovanni Mpetshi Perricard,R,203,FRA,21.478,31,1561,6-3 7-6(4),3,SF,86,12,2,64,45,38,13,11,4,4,10,5,69,48,38,9,10,1,2
2025-339,Brisbane,Hard,32,A,20241229,31,208103,,,Jiri Lehecka,R,185,CZE,23.14,28,1660,124187,,,Reilly Opelka,R,211,USA,27.337,293,176,4-1 RET,3,F,13,3,0,15,10,10,2,3,0,0,0,0,9,9,4,0,2,0,1
2025-336,Hong Kong,Hard,28,A,20241229,1,200175,,,Miomir Kecmanovic,R,183,SRB,25.331,54,1021,209260,,,Luciano Darderi,R,183,ITA,22.872,44,1198,6-3 6-3,3,R32,67,9,1,57,39,32,8,9,2,2,9,1,53,35,22,10,9,6,9
2025-336,Hong Kong,Hard,28,A,20241229,2,206681,,,Fabian Marozsan,R,193,HUN,25.227,58,935,126128,,,Roman Safiullin,R,185,RUS,27.395,60,923,6-1 7-6(9),3,R32,93,6,3,70,41,30,14,10,1,5,4,3,72,47,29,8,9,10,16
2025-336,Hong Kong,Hard,28,A,20241229,3,132283,,,Lorenzo Sonego,R,191,ITA,29.637,53,1026,206909,,,Brandon Nakashima,R,188,USA,23.406,38,1335,7-6(4) 6-3,3,R32,90,5,1,61,38,34,17,11,0,0,6,0,56,39,33,10,10,1,2
2025-336,Hong Kong,Hard,28,A,20241229,4,111815,,,Cameron Norrie,L,188,GBR,29.352,49,1119,210530,,,Learner Tien,L,180,USA,19.075,122,493,6-3 7-5,3,R32,98,11,1,78,60,38,8,11,5,7,6,5,69,42,27,11,10,5,9
2025-336,Hong Kong,Hard,28,A,20241229,5,200267,,,Zizou Bergs,R,185,BEL,25.574,71,768,208279,,,Alejandro Moro Canas,R,183,ESP,24.06,169,345,6-4 6-4,3,R32,91,11,1,54,38,31,11,10,1,2,2,3,78,48,31,12,10,6,9
2025-336,Hong Kong,Hard,28,A,20241229,6,124186,,,Alexandre Muller,R,183,FRA,27.907,67,778,HH06,,,Marc-Andrea Huesler,L,196,SUI,28.515,159,376,2-6 6-4 6-3,3,R32,125,9,2,93,73,48,10,14,6,9,8,3,81,40,34,15,13,5,8
2025-336,Hong Kong,Hard,28,A,20241229,7,132686,,,Nuno Borges,R,185,POR,27.858,36,1355,207352,,,Yunchaokete Bu,R,185,CHN,22.943,65,784,3-6 6-3 7-6(6),3,R32,134,9,4,81,55,46,14,15,2,4,17,1,107,65,51,20,15,9,11
2025-336,Hong Kong,Hard,28,A,20241229,8,144719,,,Jaume Munar,R,183,ESP,27.652,62,832,200221,,,Alejandro Davidovich Fokina,R,180,ESP,25.569,61,845,4-6 6-3 6-3,3,R32,117,6,4,78,49,36,19,14,2,4,2,4,76,39,25,21,14,2,6
2025-336,Hong Kong,Hard,28,A,20241229,9,124079,,,Pedro Martinez,R,185,ESP,27.677,43,1205,208859,,,Francesco Passaro,R,180,ITA,23.975,108,570,6-4 6-4,3,R32,89,3,1,63,45,35,10,10,3,3,5,2,55,38,30,8,10,4,6
2025-336,Hong Kong,Hard,28,A,20241229,10,105453,,,Kei Nishikori,R,178,JPN,35.001,106,578,133430,,,Denis Shapovalov,L,185,CAN,25.708,56,981,6-2 6-3,3,R32,58,4,0,50,35,29,9,9,2,2,7,5,52,27,18,12,8,4,7
2025-336,Hong Kong,Hard,28,A,20241229,11,209113,,,Gabriel Diallo,R,203,CAN,23.264,87,643,106148,,,Roberto Carballes Baena,R,183,ESP,31.77,57,981,4-6 7-6(4) 7-5,3,R32,169,9,2,117,85,57,19,17,10,13,9,6,104,65,52,16,17,5,8
2025-336,Hong Kong,Hard,28,A,20241229,12,209992,,,Juncheng Shang,L,180,CHN,19.904,50,1115,209409,,,Coleman Wong,R,191,HKG,20.564,170,340,7-6(3) 6-4,3,R32,89,4,1,59,33,29,20,11,0,0,17,1,76,52,41,9,11,6,7
2025-336,Hong Kong,Hard,28,A,20241229,13,124186,,,Alexandre Muller,R,183,FRA,27.907,67,778,200175,,,Miomir Kecmanovic,R,183,SRB,25.331,54,1021,5-7 7-6(6) 7-6(10),3,R16,210,9,2,122,86,61,16,18,5,10,4,5,139,83,57,26,18,5,9
2025-336,Hong Kong,Hard,28,A,20241229,14,111815,,,Cameron Norrie,L,188,GBR,29.352,49,1119,132283,,,Lorenzo Sonego,R,191,ITA,29.637,53,1026,6-2 4-6 6-1,3,R16,144,4,1,70,52,37,13,12,2,3,7,0,75,52,38,7,13,4,9
2025-336,Hong Kong,Hard,28,A,20241229,15,209950,,,Arthur Fils,R,185,FRA,20.548,20,2355,200267,,,Zizou Bergs,R,185,BEL,25.574,71,768,7-6(7) 6-4,3,R16,100,6,2,67,39,32,15,11,0,2,5,2,71,46,34,11,11,2,5
2025-336,Hong Kong,Hard,28,A,20241229,16,105453,,,Kei Nishikori,R,178,JPN,35.001,106,578,111575,,,Karen Khachanov,R,198,RUS,28.608,19,2410,4-6 6-3 7-5,3,R16,129,1,1,90,62,43,17,16,5,8,7,5,90,59,41,14,15,3,7
2025-336,Hong Kong,Hard,28,A,20241229,17,144719,,,Jaume Munar,R,183,ESP,27.652,62,832,132686,,,Nuno Borges,R,185,POR,27.858,36,1355,6-3 7-5,3,R16,83,5,0,57,35,30,11,11,0,1,2,4,59,36,26,10,10,1,4
2025-336,Hong Kong,Hard,28,A,20241229,18,207518,,,Lorenzo Musetti,R,185,ITA,22.825,17,2600,209113,,,Gabriel Diallo,R,203,CAN,23.264,87,643,6-4 6-3,3,R16,86,6,3,49,37,30,7,9,2,2,6,2,70,49,32,9,10,7,10
2025-336,Hong Kong,Hard,28,A,20241229,19,209992,,,Juncheng Shang,L,180,CHN,19.904,50,1115,124079,,,Pedro Martinez,R,185,ESP,27.677,43,1205,6-3 6-1,3,R16,77,9,2,54,40,32,5,8,6,6,5,6,49,33,23,2,8,3,7
2025-336,Hong Kong,Hard,28,A,20241229,20,206681,,,Fabian Marozsan,R,193,HUN,25.227,58,935,126094,,,Andrey Rublev,R,188,RUS,27.192,8,3760,7-5 3-6 6-3,3,R16,118,5,2,103,67,45,15,15,10,13,10,3,85,53,39,15,15,5,9
2025-336,Hong Kong,Hard,28,A,20241229,21,124186,,,Alexandre Muller,R,183,FRA,27.907,67,778,209950,,,Arthur Fils,R,185,FRA,20.548,20,2355,3-6 6-3 6-1,3,QF,111,3,1,89,57,41,14,12,11,13,3,9,69,31,21,19,13,3,8
2025-336,Hong Kong,Hard,28,A,20241229,22,144719,,,Jaume Munar,R,183,ESP,27.652,62,832,207518,,,Lorenzo Musetti,R,185,ITA,22.825,17,2600,2-6 7-6(4) 7-5,3,QF,156,2,4,102,69,47,17,16,7,11,9,4,102,69,54,11,16,4,7
2025-336,Hong Kong,Hard,28,A,20241229,23,209992,,,Juncheng Shang,L,180,CHN,19.904,50,1115,206681,,,Fabian Marozsan,R,193,HUN,25.227,58,935,1-6 6-3 6-4,3,QF,104,9,4,77,57,44,6,13,4,6,6,2,81,55,43,11,13,6,8
2025-336,Hong Kong,Hard,28,A,20241229,24,105453,,,Kei Nishikori,R,178,JPN,35.001,106,578,111815,,,Cameron Norrie,L,188,GBR,29.352,49,1119,6-3 3-6 6-2,3,QF,101,4,1,75,55,43,9,13,1,2,8,3,79,55,38,11,13,2,5
2025-336,Hong Kong,Hard,28,A,20241229,25,124186,,,Alexandre Muller,R,183,FRA,27.907,67,778,144719,,,Jaume Munar,R,183,ESP,27.652,62,832,4-6 7-6(5) 6-4,3,SF,145,4,3,94,62,47,20,16,2,4,6,2,99,73,54,16,16,2,4
2025-336,Hong Kong,Hard,28,A,20241229,26,105453,,,Kei Nishikori,R,178,JPN,35.001,106,578,209992,,,Juncheng Shang,L,180,CHN,19.904,50,1115,4-3 RET,3,SF,20,3,0,22,13,10,7,4,0,0,3,0,15,12,9,3,3,0,0
2025-336,Hong Kong,Hard,28,A,20241229,27,124186,,,Alexandre Muller,R,183,FRA,27.907,67,778,105453,,,Kei Nishikori,R,178,JPN,35.001,106,578,2-6 6-1 6-3,3,F,103,2,1,77,60,44,7,12,4,6,4,1,75,48,28,14,12,4,8
2025-8998,Adelaide,Hard,28,A,20250106,1,133430,,,Denis Shapovalov,L,185,CAN,25.73,58,981,111190,,,Zhizhen Zhang,R,193,CHN,28.225,47,1140,6-3 6-4,3,R32,67,9,4,54,32,31,12,10,0,0,4,2,53,30,21,14,9,3,5
2025-8998,Adelaide,Hard,28,A,20250106,2,200221,,,Alejandro Davidovich Fokina,R,180,ESP,25.591,68,775,105138,,,Roberto Bautista Agut,R,183,ESP,36.731,51,1067,7-5 6-2,3,R32,103,5,3,74,44,32,15,10,1,2,1,5,70,44,28,11,10,5,9
2025-8998,Adelaide,Hard,28,A,20250106,3,106331,,,Christopher O'Connell,R,183,AUS,30.595,64,795,126239,,,Arthur Rinderknech,R,196,FRA,29.459,60,927,7-5 7-6(5),3,R32,99,9,1,66,40,35,18,12,1,1,7,1,71,48,37,16,12,5,6
2025-8998,Adelaide,Hard,28,A,20250106,4,106423,,,Thanasi Kokkinakis,R,193,AUS,28.742,77,716,106415,,,Yoshihito Nishioka,L,170,JPN,29.279,63,807,6-3 3-6 6-3,3,R32,130,15,3,88,60,44,14,14,3,5,4,2,89,54,36,18,13,9,12
2025-8998,Adelaide,Hard,28,A,20250106,5,111454,,,Li Tu,R,183,AUS,28.613,179,323,105902,,,James Duckworth,R,183,AUS,32.961,94,624,6-1 7-5,3,R32,73,6,2,59,35,29,13,9,5,5,1,3,53,35,24,8,10,2,6
2025-8998,Adelaide,Hard,28,A,20250106,6,131905,,,Manuel Guinard,R,198,FRA,29.144,261,209,126128,,,Roman Safiullin,R,185,RUS,27.417,62,823,7-6(4) 2-6 6-1,3,R32,127,7,11,98,48,33,26,14,7,11,13,5,83,53,37,13,13,5,9
2025-8998,Adelaide,Hard,28,A,20250106,7,106218,,,Marcos Giron,R,180,USA,31.455,45,1150,126846,,,Aleksandar Vukic,R,188,AUS,28.753,67,778,6-2 3-6 6-3,3,R32,103,4,0,72,41,29,22,13,2,4,8,3,89,58,40,12,13,4,8
2025-8998,Adelaide,Hard,28,A,20250106,8,200175,,,Miomir Kecmanovic,R,183,SRB,25.352,55,1021,122330,,,Alexander Bublik,R,196,KAZ,27.556,33,1420,6-4 6-2,3,R32,62,2,4,49,36,28,7,9,0,1,8,12,64,33,24,10,9,8,12
2025-8998,Adelaide,Hard,28,A,20250106,9,209070,,,Arthur Cazaux,R,183,FRA,22.374,80,707,200443,,,Adam Walton,R,183,AUS,25.725,91,636,7-5 6-1,3,R32,102,9,8,73,38,28,19,10,9,10,4,1,58,37,20,9,9,5,9
2025-8998,Adelaide,Hard,28,A,20250106,10,206909,,,Brandon Nakashima,R,188,USA,23.428,37,1335,105870,,,Yannick Hanfmann,R,193,GER,33.15,98,615,6-1 2-6 6-3,3,R32,100,14,3,69,39,31,14,12,2,4,2,5,74,48,33,9,12,3,7
2025-8998,Adelaide,Hard,28,A,20250106,11,208014,,,Rinky Hijikata,R,178,AUS,23.869,79,712,105676,,,David Goffin,R,180,BEL,34.084,53,1029,6-1 6-2,3,R32,72,4,3,57,29,21,16,8,4,5,3,0,44,20,11,9,7,4,9
2025-8998,Adelaide,Hard,28,A,20250106,12,144869,,,Tomas Martin Etcheverry,R,196,ARG,25.473,39,1315,209262,,,Tristan Schoolkate,R,183,AUS,23.86,173,336,7-6(8) 6-3,3,R32,111,4,1,71,42,33,19,11,3,3,14,1,65,36,31,13,10,1,2
2025-8998,Adelaide,Hard,28,A,20250106,13,200000,,,Felix Auger-Aliassime,R,193,CAN,24.413,29,1680,209070,,,Arthur Cazaux,R,183,FRA,22.374,80,707,1-6 6-4 7-5,3,R16,153,12,5,83,54,39,14,14,4,6,8,3,100,54,38,24,15,7,9
