player_name,ranking,date,num
Rafael Nadal,2060.255419241312,2017-05-15,295.0
Rafael Nadal,2062.784555748458,2017-05-29,147.0
Rafael Nadal,2065.4675282516077,2017-05-29,187.0
Rafael Nadal,2070.04147555091,2017-05-29,207.0
Rafael Nadal,2077.2172185879786,2017-05-29,217.0
Rafael Nadal,2084.5533830135464,2017-05-29,222.0
Rafael Nadal,2098.2973772946057,2017-05-29,225.0
Rafael Nadal,2110.3574330490246,2017-05-29,226.0
Rafael Nadal,2112.115680871099,2017-07-03,116.0
Rafael Nadal,2115.9057252915777,2017-07-03,172.0
Rafael Nadal,2121.2763467395066,2017-07-03,200.0
Rafael Nadal,2086.3851791478173,2017-07-03,214.0
Rafael Nadal,2088.459074182114,2017-08-07,285.0
Rafael Nadal,2052.6503855554497,2017-08-07,293.0
Rafael Nadal,2058.001232600285,2017-08-14,285.0
Rafael Nadal,2061.288628050674,2017-08-14,293.0
Rafael Nadal,2031.303861373033,2017-08-14,297.0
Rafael Nadal,2033.486234238367,2017-08-28,100.0
Rafael Nadal,2035.0683739861577,2017-08-28,164.0
Rafael Nadal,2040.7911825706642,2017-08-28,196.0
Rafael Nadal,2045.3108233297476,2017-08-28,212.0
Rafael Nadal,2053.048742476605,2017-08-28,220.0
Rafael Nadal,2065.4246110436266,2017-08-28,224.0
Rafael Nadal,2076.1136714917907,2017-08-28,226.0
Rafael Nadal,2079.8043727612294,2017-09-22,105.0
Rafael Nadal,2048.5006509089517,2017-09-22,108.0
Rafael Nadal,2052.0009968195936,2017-10-02,285.0
Rafael Nadal,2055.0263869252576,2017-10-02,293.0
Rafael Nadal,2061.82969672611,2017-10-02,297.0
Rafael Nadal,2071.0181647139357,2017-10-02,299.0
Rafael Nadal,2079.157969307626,2017-10-02,300.0
Rafael Nadal,2082.387411688823,2017-10-09,285.0
Rafael Nadal,2087.478093100793,2017-10-09,293.0
Rafael Nadal,2096.036800497509,2017-10-09,297.0
Rafael Nadal,2104.902683748201,2017-10-09,299.0
Rafael Nadal,2089.1707075995982,2017-10-09,300.0
Rafael Nadal,2092.462976194971,2017-10-30,285.0
Rafael Nadal,2094.2509312132247,2017-10-30,293.0
Rafael Nadal,2061.431608479727,2017-10-30,297.0
Rafael Nadal,2034.2507681871361,2017-11-13,286.0
Rafael Nadal,2035.151748189942,2018-01-15,101.0
Rafael Nadal,2038.3674638806422,2018-01-15,201.0
Rafael Nadal,2044.7613537227078,2018-01-15,301.0
Rafael Nadal,2050.7873106807456,2018-01-15,401.0
Rafael Nadal,2022.8455892507516,2018-01-15,501.0
Rafael Nadal,2027.9275883836196,2018-04-06,2.0
Rafael Nadal,2038.5743912345827,2018-04-06,4.0
Rafael Nadal,2042.2615794233163,2018-04-16,285.0
Rafael Nadal,2047.025752757659,2018-04-16,293.0
Rafael Nadal,2054.3743029722427,2018-04-16,297.0
Rafael Nadal,2064.558323952044,2018-04-16,299.0
Rafael Nadal,2073.1269284639943,2018-04-16,300.0
Rafael Nadal,2074.713748732961,2018-04-23,285.0
Rafael Nadal,2076.4122678768913,2018-04-23,293.0
Rafael Nadal,2079.4509607007712,2018-04-23,297.0
Rafael Nadal,2087.604126277438,2018-04-23,299.0
Rafael Nadal,2091.413983526924,2018-04-23,300.0
Rafael Nadal,2095.2339782124627,2018-05-07,285.0
Rafael Nadal,2099.0601359409116,2018-05-07,293.0
Rafael Nadal,2071.952814385963,2018-05-07,297.0
Rafael Nadal,2074.0632320627774,2018-05-14,285.0
Rafael Nadal,2078.7917897024513,2018-05-14,293.0
Rafael Nadal,2083.2823682452117,2018-05-14,297.0
Rafael Nadal,2092.291466990652,2018-05-14,299.0
Rafael Nadal,2103.882916505069,2018-05-14,300.0
Rafael Nadal,2104.7924020617065,2018-05-28,100.0
Rafael Nadal,2106.753456857911,2018-05-28,164.0
Rafael Nadal,2110.449353511143,2018-05-28,196.0
Rafael Nadal,2113.1620244617825,2018-05-28,212.0
Rafael Nadal,2117.8282584439216,2018-05-28,220.0
Rafael Nadal,2129.747022615358,2018-05-28,224.0
Rafael Nadal,2138.0177206922003,2018-05-28,226.0
Rafael Nadal,2139.0484469364947,2018-07-02,163.0
Rafael Nadal,2140.476546009755,2018-07-02,195.0
Rafael Nadal,2142.478182090795,2018-07-02,211.0
Rafael Nadal,2144.144387341487,2018-07-02,219.0
Rafael Nadal,2155.119894990356,2018-07-02,223.0
Rafael Nadal,2129.1525713458723,2018-07-02,225.0
Rafael Nadal,2131.082376723798,2018-08-06,285.0
Rafael Nadal,2133.344304016131,2018-08-06,293.0
Rafael Nadal,2140.391404388767,2018-08-06,297.0
Rafael Nadal,2144.2872539011737,2018-08-06,299.0
Rafael Nadal,2150.2761168939046,2018-08-06,300.0
Rafael Nadal,2151.2974650848964,2018-08-27,100.0
Rafael Nadal,2151.9786689461107,2018-08-27,164.0
Rafael Nadal,2156.3001052053623,2018-08-27,196.0
Rafael Nadal,2158.166242289555,2018-08-27,212.0
Rafael Nadal,2163.1595080345737,2018-08-27,220.0
Rafael Nadal,2139.3924551309383,2018-08-27,224.0
Rafael Nadal,2139.909291513425,2019-01-14,163.0
Rafael Nadal,2141.4882157194397,2019-01-14,195.0
Rafael Nadal,2145.845671333798,2019-01-14,211.0
Rafael Nadal,2149.5190714493137,2019-01-14,219.0
Rafael Nadal,2151.715670646679,2019-01-14,223.0
Rafael Nadal,2158.8637767145933,2019-01-14,225.0
Rafael Nadal,2139.897163661933,2019-01-14,226.0
Rafael Nadal,2140.620787113777,2019-02-25,285.0
Rafael Nadal,2113.2510830061333,2019-02-25,293.0
Rafael Nadal,2114.350665505197,2019-03-04,238.0
Rafael Nadal,2116.84266342221,2019-03-04,270.0
Rafael Nadal,2120.0251063067003,2019-03-04,286.0
Rafael Nadal,2125.201543345446,2019-03-04,294.0
Rafael Nadal,2109.073998172653,2019-03-04,298.0
Rafael Nadal,2114.2935361369487,2019-04-15,270.0
Rafael Nadal,2118.0740598746215,2019-04-15,286.0
Rafael Nadal,2120.61393306406,2019-04-15,294.0
Rafael Nadal,2093.926073067424,2019-04-15,298.0
Rafael Nadal,2095.6861932189117,2019-04-22,285.0
Rafael Nadal,2097.58189983643,2019-04-22,293.0
Rafael Nadal,2101.1937558051195,2019-04-22,297.0
Rafael Nadal,2077.8405345288347,2019-04-22,299.0
Rafael Nadal,2082.624562365837,2019-05-06,270.0
Rafael Nadal,2085.4918109806945,2019-05-06,286.0
Rafael Nadal,2090.971905086527,2019-05-06,294.0
Rafael Nadal,2069.766879413267,2019-05-06,298.0
Rafael Nadal,2072.400144681926,2019-05-13,270.0
Rafael Nadal,2075.770230664268,2019-05-13,286.0
Rafael Nadal,2079.8553892758177,2019-05-13,294.0
Rafael Nadal,2090.0875896263897,2019-05-13,298.0
Rafael Nadal,2105.3755647418575,2019-05-13,300.0
Rafael Nadal,2106.1042110521526,2019-05-27,1164.0
Rafael Nadal,2107.2059159469413,2019-05-27,1232.0
Rafael Nadal,2111.028484233113,2019-05-27,1316.0
Rafael Nadal,2113.408631104965,2019-05-27,1408.0
Rafael Nadal,2120.0506168058128,2019-05-27,1504.0
Rafael Nadal,2135.1267805744383,2019-05-27,1602.0
Rafael Nadal,2143.68538871422,2019-05-27,1701.0
Rafael Nadal,2144.166606002077,2019-07-01,147.0
Rafael Nadal,2147.505895376956,2019-07-01,187.0
Rafael Nadal,2150.650686091707,2019-07-01,207.0
Rafael Nadal,2152.0127431147653,2019-07-01,217.0
Rafael Nadal,2155.0516969859586,2019-07-01,222.0
Rafael Nadal,2138.3176245105597,2019-07-01,225.0
Rafael Nadal,2139.9628423523504,2019-08-05,285.0
Rafael Nadal,2142.9554746583235,2019-08-05,293.0
Rafael Nadal,2145.997679662716,2019-08-05,297.0
Rafael Nadal,2149.4226159289683,2019-08-05,299.0
Rafael Nadal,2154.6798437778684,2019-08-05,300.0
Rafael Nadal,2155.800600370955,2019-08-26,163.0
Rafael Nadal,2156.7767116547543,2019-08-26,195.0
Rafael Nadal,2158.498926447136,2019-08-26,211.0
Rafael Nadal,2161.7050882793073,2019-08-26,219.0
Rafael Nadal,2165.6984205101385,2019-08-26,223.0
Rafael Nadal,2171.7610550807362,2019-08-26,225.0
Rafael Nadal,2179.746052798876,2019-08-26,226.0
Rafael Nadal,2182.043355547773,2019-09-20,107.0
Rafael Nadal,2183.732118149531,2019-10-28,270.0
Rafael Nadal,2187.2042868299277,2019-10-28,286.0
Rafael Nadal,2190.1836006514645,2019-10-28,294.0
Rafael Nadal,2165.859238432808,2019-10-28,298.0
Rafael Nadal,2142.4873224055323,2019-11-11,295.0
Rafael Nadal,2149.0911533749577,2019-11-11,296.0
Rafael Nadal,2156.383531025855,2019-11-11,297.0
Rafael Nadal,2158.985739003568,2019-11-19,2.0
Rafael Nadal,2159.4304136317614,2019-11-20,2.0
Rafael Nadal,2162.217848536197,2019-11-22,2.0
Rafael Nadal,2163.334695006335,2019-11-23,2.0
Rafael Nadal,2167.664476202626,2019-11-24,2.0
Rafael Nadal,2168.523866043607,2020-01-06,270.0
Rafael Nadal,2170.26947859058,2020-01-06,272.0
Rafael Nadal,2172.210117102362,2020-01-06,274.0
Rafael Nadal,2148.2478527803714,2020-01-06,288.0
Rafael Nadal,2152.8253645505606,2020-01-06,296.0
Rafael Nadal,2138.078029801322,2020-01-06,300.0
Rafael Nadal,2138.863106327492,2020-01-20,100.0
Rafael Nadal,2139.6856374997496,2020-01-20,164.0
Rafael Nadal,2142.884923451079,2020-01-20,196.0
Rafael Nadal,2147.193736996906,2020-01-20,212.0
Rafael Nadal,2125.0456389744954,2020-01-20,220.0
Rafael Nadal,2125.816300677539,2020-02-24,285.0
Rafael Nadal,2128.1136494126586,2020-02-24,293.0
