iter	Logloss
126	0.6243950128
127	0.6242205189
128	0.6240197684
129	0.6238785072
130	0.6237054308
131	0.6235438339
132	0.6234011876
133	0.6232274361
134	0.6230700641
135	0.6229083229
136	0.6227335764
137	0.6225796266
138	0.6224368299
139	0.6222728359
140	0.622103789
141	0.621949614
142	0.6218302238
143	0.6217083076
144	0.621603832
145	0.6214603446
146	0.6213242006
147	0.6211960283
148	0.6210680437
149	0.6209234264
150	0.6207932129
151	0.6206947181
152	0.6205704932
153	0.6204358813
154	0.6203109212
155	0.6201742366
156	0.6200428349
157	0.6199400412
158	0.619810716
159	0.6196895952
160	0.6195967535
161	0.6194871356
162	0.6193709231
163	0.6192546289
164	0.6191288674
165	0.6190060728
166	0.6188815607
167	0.6187585898
168	0.6186629245
169	0.6185544797
170	0.6184509962
171	0.6183666882
172	0.6182714295
173	0.6181697333
174	0.6180377349
175	0.617934197
176	0.6178168973
177	0.6177056161
178	0.6176123257
179	0.6175173956
180	0.6174089297
181	0.6173032086
182	0.6172097196
183	0.6170996966
184	0.6169979576
185	0.6168931048
186	0.616805682
187	0.6167257194
188	0.6166283823
189	0.6165352137
190	0.6164408978
191	0.6163396733
192	0.6162523116
193	0.6161869833
194	0.6160914051
195	0.6159963351
196	0.6159086312
197	0.6158029078
198	0.6157224147
199	0.6156319535
200	0.6155714658
201	0.6154803539
202	0.615380406
203	0.615309222
204	0.6152256847
205	0.6151602191
206	0.61506562
207	0.6149983584
208	0.6149193776
209	0.6148355614
210	0.6147526406
211	0.6146791257
212	0.6145895703
213	0.6145161162
214	0.6144357182
215	0.6143658042
216	0.6142893061
217	0.6142101237
218	0.6141494821
219	0.6140596831
220	0.6139921637
221	0.6139252945
222	0.6138472276
223	0.6137661041
224	0.6137075025
225	0.6136576103
226	0.6136042372
227	0.613535937
228	0.6134541762
229	0.6133872163
230	0.6133335913
231	0.6132544379
232	0.6131812327
233	0.6131062468
234	0.6130368595
235	0.6129703184
236	0.6129076884
237	0.6128472883
238	0.6127798555
239	0.6127148892
240	0.6126575891
241	0.6125865155
242	0.6125234435
243	0.6124584507
244	0.612399339
245	0.6123386378
246	0.6122896285
247	0.6122295169
248	0.6121592678
249	0.6120976489
250	0.6120456102
251	0.6119793835
252	0.611940112
253	0.6118929466
254	0.6118372283
255	0.6117810644
256	0.6117214749
257	0.6116720804
258	0.611613083
259	0.611563253
260	0.6115077181
261	0.6114504405
262	0.6114101362
263	0.6113715724
264	0.6113165738
265	0.6112757365
266	0.611224029
267	0.6111653108
268	0.6111211464
269	0.6110691185
270	0.6110192699
271	0.610978029
272	0.6109288133
273	0.6108750476
274	0.6108162518
275	0.6107683354
276	0.6107237091
277	0.6106854146
278	0.6106367956
279	0.6105891606
280	0.6105355434
281	0.6104928173
282	0.6104414867
283	0.6103994829
284	0.6103548431
285	0.6103081995
286	0.6102737986
287	0.6102301005
288	0.6101901467
289	0.6101359879
290	0.6100887451
291	0.6100446198
292	0.6100018972
293	0.6099571898
294	0.6099195878
295	0.6098848341
296	0.6098502621
297	0.6098073754
298	0.6097532984
299	0.6097082739
300	0.6096747453
301	0.6096340564
302	0.6095964592
303	0.6095650559
304	0.6095195858
305	0.6094763098
306	0.609438391
307	0.6094073265
308	0.6093703179
309	0.6093319397
310	0.6092961471
311	0.6092514181
312	0.6092201869
313	0.6091853323
314	0.6091540775
315	0.6091209951
316	0.6090897177
317	0.6090483324
318	0.6090085467
319	0.6089758292
320	0.6089330288
321	0.6088890745
322	0.6088504065
323	0.6088195942
324	0.6087851988
325	0.60874634
326	0.6087143601
327	0.6086744746
328	0.6086278465
329	0.6085944811
330	0.608556515
331	0.6085134936
332	0.6084807465
333	0.6084602161
334	0.6084227563
335	0.6083864832
336	0.6083524997
337	0.6083152386
338	0.6082873031
339	0.6082570213
340	0.6082279287
341	0.6081998923
342	0.6081662724
343	0.6081418895
344	0.6081136504
345	0.6080826832
346	0.6080486304
347	0.6080143041
348	0.6079818792
349	0.607948151
350	0.607914741
351	0.6078788685
352	0.6078484975
353	0.6078178133
354	0.6077875748
355	0.6077657827
356	0.6077301207
357	0.6077016185
358	0.6076766132
359	0.6076484021
360	0.6076166036
361	0.6075832182
362	0.6075507863
363	0.607526716
364	0.607498906
365	0.6074719565
366	0.6074462464
367	0.6074155763
368	0.6073916078
369	0.6073578478
370	0.6073211609
371	0.6072908332
372	0.6072608203
373	0.6072345882
374	0.6072089106
375	0.6071796999
376	0.6071520019
377	0.6071197799
378	0.6070909735
379	0.6070634935
380	0.6070340941
381	0.6070113618
382	0.6069816747
383	0.606959652
384	0.606933978
385	0.6069102363
386	0.6068833792
387	0.6068511774
388	0.6068254135
389	0.6068003971
390	0.6067810115
391	0.6067484743
392	0.6067156133
393	0.6066939519
394	0.6066707393
395	0.6066456855
396	0.6066110491
397	0.6065813966
398	0.6065551851
399	0.6065259134
400	0.6064979957
401	0.6064737617
402	0.6064522603
403	0.6064303102
404	0.6064019683
405	0.6063743808
406	0.6063427377
407	0.6063159892
408	0.6062856184
409	0.6062641694
410	0.6062387446
411	0.6062028833
412	0.6061842523
413	0.6061565966
414	0.6061259343
415	0.606105099
416	0.6060845499
417	0.6060535641
418	0.6060374911
419	0.6060066522
420	0.6059747273
421	0.6059483579
422	0.605920964
423	0.6058955948
424	0.6058669194
425	0.6058400816
426	0.6058138864
427	0.6057880798
428	0.6057645777
429	0.6057364363
430	0.6057124746
431	0.6056888488
432	0.6056639529
433	0.6056399197
434	0.605615688
435	0.6055889216
436	0.6055644958
437	0.6055381187
438	0.6055133503
439	0.6054843526
440	0.605457529
441	0.6054285908
442	0.6054031664
443	0.6053773126
444	0.6053597191
445	0.605340301
446	0.6053141484
447	0.6052883627
448	0.6052632325
449	0.6052461014
450	0.605224189
451	0.6051978013
452	0.6051756795
453	0.605149157
454	0.6051328859
455	0.6051065657
456	0.605081298
457	0.6050646075
458	0.6050378337
459	0.605017239
460	0.6049921976
461	0.6049679436
462	0.6049497183
463	0.6049279556
464	0.6048982005
465	0.6048788626
466	0.6048613546
467	0.6048430949
468	0.6048222303
469	0.604793626
470	0.6047770049
471	0.6047511731
472	0.6047334075
473	0.6047112228
474	0.604692444
475	0.6046645406
476	0.6046395756
477	0.6046208354
478	0.6045892572
479	0.6045628409
480	0.6045407466
481	0.6045219178
482	0.6045005464
483	0.6044842672
484	0.6044585636
485	0.6044387216
486	0.6044193362
487	0.6043976966
488	0.6043695724
489	0.6043457573
490	0.6043241966
491	0.604307508
492	0.604289574
493	0.6042704626
494	0.6042490293
495	0.6042323239
496	0.6042142598
497	0.6041929233
498	0.6041768959
499	0.6041588842
