player_id,surface,elo
206173,1,1709.53118
104925,1,1609.06375
103819,1,1560.59881
105223,1,1489.95954
104417,1,1470.48717
207989,1,1467.00029
100644,1,1439.54294
106421,1,1414.42159
126203,1,1404.12281
106401,1,1389.88363
105777,1,1367.92441
104745,1,1365.64689
200005,1,1343.17392
200282,1,1333.87446
101736,1,1327.18315
208029,1,1326.4038
104053,1,1326.15735
207733,1,1316.27548
200624,1,1307.44205
111575,1,1302.51519
101948,1,1301.91571
105683,1,1282.72033
128034,1,1278.24443
104339,1,1270.22505
126205,1,1269.0139
104792,1,1266.88066
126774,1,1266.40279
200615,1,1265.87912
210097,1,1265.11833
103900,1,1261.90717
104871,1,1260.87138
104607,1,1260.04197
105453,1,1246.31801
111442,1,1244.20747
207830,1,1240.62977
103888,1,1238.41175
126610,1,1236.96187
126094,1,1233.79659
126207,1,1231.39558
102765,1,1229.1053
202385,1,1228.06616
133430,1,1213.49078
105238,1,1211.45238
200325,1,1210.39486
103970,1,1210.12201
134868,1,1207.88723
105807,1,1206.26449
207925,1,1203.52159
102158,1,1202.9261
105676,1,1201.91829
208103,1,1201.00987
102701,1,1193.13884
106423,1,1190.24799
209950,1,1189.86578
111202,1,1189.17521
134770,1,1188.31488
206909,1,1187.43749
103017,1,1187.23767
103602,1,1185.95481
210506,1,1184.96237
102562,1,1184.03746
200000,1,1183.37562
103498,1,1179.03688
105138,1,1178.89371
111815,1,1176.51643
208286,1,1172.69559
104026,1,1170.05557
210150,1,1167.26923
106218,1,1164.9766
202103,1,1164.27215
103909,1,1161.01016
103786,1,1160.60031
200221,1,1160.46637
104542,1,1160.28384
103285,1,1159.07318
103898,1,1154.52828
127339,1,1154.24767
105668,1,1152.21627
144707,1,1152.00038
124187,1,1151.92021
209098,1,1151.36661
106415,1,1148.12097
103344,1,1146.64106
105575,1,1146.0268
103507,1,1145.64516
126128,1,1144.40992
104571,1,1143.90775
105227,1,1143.6019
104918,1,1141.95681
103720,1,1140.87477
102450,1,1140.29014
103163,1,1138.4907
207518,1,1137.67764
106233,1,1137.57819
104527,1,1137.33395
126239,1,1134.41038
136440,1,1133.9885
102854,1,1133.79943
103990,1,1132.50238
104338,1,1132.22069
106378,1,1131.10284
206681,1,1129.73998
111456,1,1129.2115
111581,1,1128.34751
103566,1,1126.63222
122298,1,1126.12314
103484,1,1125.44664
125802,1,1121.76655
102563,1,1121.48552
105732,1,1121.43124
104468,1,1121.18874
102344,1,1120.08121
103781,1,1120.02412
106298,1,1119.79265
144869,1,1119.62321
105577,1,1118.3159
111513,1,1118.22267
102845,1,1116.07584
106432,1,1115.72044
200059,1,1114.53215
104259,1,1114.06836
126127,1,1113.58172
122330,1,1113.48646
102338,1,1111.59832
104597,1,1111.50727
103084,1,1111.04162
102148,1,1110.08783
105173,1,1109.33652
208014,1,1109.04208
106331,1,1106.73119
103758,1,1106.51831
200175,1,1106.29764
105656,1,1105.89825
208659,1,1105.18799
207352,1,1104.24841
106071,1,1102.87253
104731,1,1102.44765
209070,1,1101.8204
101962,1,1099.52921
105936,1,1099.51527
102905,1,1098.80594
104898,1,1098.76423
102257,1,1097.35543
105657,1,1097.25629
105526,1,1095.73048
104545,1,1093.84306
103917,1,1093.72741
211663,1,1093.62302
105992,1,1093.5558
208502,1,1093.32111
126846,1,1093.10028
105870,1,1092.61037
132283,1,1092.22279
105916,1,1091.67967
124116,1,1090.54417
111577,1,1089.52379
209992,1,1089.4744
200267,1,1089.05292
209113,1,1088.62146
126214,1,1088.36447
105790,1,1086.55163
102863,1,1083.85536
103387,1,1083.84998
106058,1,1082.74562
105550,1,1081.52169
144684,1,1081.44601
105095,1,1080.52827
104273,1,1080.25247
207686,1,1079.1601
105723,1,1078.9787
144750,1,1078.92617
106210,1,1078.19007
126952,1,1077.92862
105554,1,1077.85322
104386,1,1077.84783
102856,1,1077.69966
123795,1,1077.3775
104180,1,1075.3589
105357,1,1074.38145
103694,1,1074.16009
103813,1,1072.56823
106234,1,1072.50537
104025,1,1071.10496
132686,1,1070.9438
102358,1,1070.45057
111797,1,1070.4032
104210,1,1070.18983
104327,1,1069.31335
105373,1,1069.05834
101885,1,1068.96386
104897,1,1068.95423
104594,1,1068.84792
210530,1,1068.65305
105379,1,1068.52877
102202,1,1068.46796
101723,1,1068.26877
104500,1,1067.53105
200273,1,1067.34318
103828,1,1067.18329
104589,1,1066.65693
106426,1,1066.35922
104978,1,1065.35757
105590,1,1064.08057
104098,1,1063.87375
104534,1,1063.58364
101990,1,1063.4148
103103,1,1062.42613
207678,1,1061.12716
105430,1,1060.78125
106078,1,1060.53426
104332,1,1060.37726
102259,1,1059.27412
103401,1,1058.81591
111794,1,1058.21902
102703,1,1057.33456
101774,1,1056.93938
103612,1,1056.88714
133297,1,1056.49647
106148,1,1056.48211
106281,1,1055.78398
208233,1,1055.54323
102477,1,1054.70876
104919,1,1054.68579
106043,1,1054.6686
103504,1,1054.35558
105208,1,1054.31979
106026,1,1053.81619
105385,1,1053.73483
102271,1,1053.58787
105583,1,1053.23296
102928,1,1052.85579
105079,1,1052.75076
105064,1,1052.69145
111153,1,1052.08983
205734,1,1051.8183
105011,1,1051.52698
103188,1,1050.91048
104547,1,1049.73207
104229,1,1048.62836
102834,1,1047.60571
144895,1,1047.13678
101532,1,1046.84089
102106,1,1046.78659
202320,1,1046.71083
101965,1,1046.48145
106109,1,1046.04091
102967,1,1045.17977
200436,1,1044.16192
111190,1,1044.05
105311,1,1044.01607
102839,1,1043.15189
104947,1,1042.75897
209414,1,1042.31803
105051,1,1042.16335
105558,1,1042.14588
101611,1,1042.03554
104755,1,1042.03194
104678,1,1041.42195
104022,1,1040.82233
144817,1,1040.05033
102401,1,1039.76064
122533,1,1039.65444
106186,1,1039.38077
103582,1,1039.2478
104371,1,1037.51992
103824,1,1037.29394
102887,1,1036.523
104523,1,1036.32388
208230,1,1036.15874
200516,1,1035.72158
103420,1,1035.55796
111200,1,1035.54591
102162,1,1034.91541
200008,1,1034.65172
