player_id,elo
216347,2115.35313
202458,2072.69661
214544,2057.02412
221103,2004.59416
221012,1972.44521
214981,1923.6527
214096,1920.16354
202468,1904.28236
211651,1893.19121
211148,1866.5758
201619,1842.5798
201594,1828.52027
202505,1826.39212
201520,1823.85744
201709,1820.88408
259799,1820.85737
214082,1814.78366
223670,1814.475
215613,1810.01554
203389,1807.12175
216146,1794.4156
202494,1790.93812
202499,1786.82919
206242,1785.9872
206252,1784.91169
201458,1777.78838
216153,1772.65672
214939,1768.96003
200033,1768.74504
211768,1766.90714
221054,1763.08851
214954,1762.91806
202460,1742.31039
220367,1741.73582
214643,1739.57981
206289,1739.13381
201499,1733.09491
222328,1729.49943
211107,1727.77032
201496,1723.95433
211685,1723.13801
206108,1722.30589
211533,1709.86222
202663,1703.91012
201345,1698.94692
201493,1698.64634
202427,1694.15067
220548,1688.97908
215713,1685.26536
211684,1680.31686
202429,1679.6184
206420,1679.06583
210722,1673.5688
215370,1670.22401
201504,1669.19811
203501,1668.60661
213631,1668.09947
204426,1664.55874
215785,1663.08265
201593,1661.58038
201495,1659.94351
211701,1659.22094
215337,1658.09269
201662,1658.04061
201614,1657.15701
206294,1654.56127
216133,1652.84331
201474,1651.02632
201425,1648.27734
201514,1646.9304
202428,1644.63965
213550,1641.95504
201545,1631.66284
201355,1630.41029
214263,1627.36762
220589,1625.29013
201320,1624.72393
202469,1624.42007
214459,1624.18272
201521,1620.92685
203530,1619.98683
220348,1619.73709
206368,1616.30826
222661,1616.04847
211713,1615.91898
204427,1609.88548
210886,1609.39684
201696,1608.88986
215219,1607.62793
211843,1605.65251
220704,1605.61328
214452,1603.03665
201603,1601.94117
220332,1600.97411
201492,1600.89168
205925,1600.52183
215480,1599.39703
215138,1598.0644
221909,1597.23815
201455,1596.32369
201450,1596.05533
216016,1590.36925
211095,1589.24596
201585,1588.57027
216262,1587.21833
201505,1587.08866
215983,1586.90333
202536,1586.47909
211279,1584.12792
215016,1583.52626
220309,1581.23632
215787,1580.8912
203533,1579.32489
206374,1578.60025
263857,1577.37352
220714,1576.63425
211817,1576.0628
202490,1576.01342
200002,1572.96551
202684,1572.50322
201611,1571.97567
201466,1570.27977
206329,1569.50246
202600,1568.69237
215872,1568.30193
211796,1565.36968
239383,1565.00764
220520,1563.63793
213889,1563.44103
214149,1562.64927
214906,1562.5558
201620,1558.62331
202446,1558.60217
215898,1556.87351
201548,1555.81136
201329,1553.59833
213646,1552.77384
216083,1552.39491
214713,1552.15335
212272,1550.24741
214839,1549.82133
201551,1549.3744
216566,1548.96486
201444,1547.66569
221024,1547.3317
202492,1546.39184
214262,1544.58212
222601,1544.23084
220699,1544.14157
213710,1543.97221
215858,1543.87971
221236,1542.57057
203463,1542.15928
215375,1541.63675
201590,1541.13565
201518,1540.77052
202365,1539.49357
213525,1538.76201
201615,1538.45464
201397,1538.28353
222233,1537.68486
210138,1536.9449
205591,1536.5953
220465,1536.31583
201421,1536.03707
201506,1534.66527
201465,1534.35946
202506,1533.83231
200043,1532.02855
214040,1531.6305
201586,1530.86745
220750,1530.79499
201490,1530.46076
214119,1527.165
204411,1527.09564
206344,1526.3651
204304,1525.86995
216385,1525.79183
201610,1525.38091
223397,1525.03734
215035,1525.02764
221237,1524.40931
212244,1524.05286
222965,1523.99977
252499,1523.92683
214770,1523.92189
216119,1523.08295
259104,1522.60506
215936,1522.3989
221257,1522.16908
201549,1521.60436
215165,1521.59035
252495,1521.08092
219875,1520.89199
206292,1520.78698
201370,1520.59433
203521,1520.09639
203315,1519.97087
214782,1519.76976
203575,1519.64012
214905,1519.00595
209712,1518.7981
221407,1517.98068
201517,1517.83798
220272,1516.45661
220435,1516.43066
221096,1515.61837
202705,1515.22244
221905,1515.07567
202434,1514.97409
202503,1513.95792
215131,1513.33191
205462,1512.96791
201483,1512.93498
222258,1512.80612
210740,1511.95751
211002,1510.99157
202440,1510.87994
221497,1510.81765
221807,1510.6501
222045,1510.59784
202393,1510.53422
201667,1510.45355
214741,1510.36788
203584,1510.3227
213948,1510.21584
213674,1510.13018
210920,1510.07686
221828,1510.02523
216055,1509.64138
204420,1509.48788
201535,1509.44396
220757,1509.32266
221996,1508.80939
214277,1507.95908
202645,1507.92651
212281,1507.86515
210337,1507.7929
215784,1507.64896
214229,1507.57996
211967,1507.57884
220446,1507.52943
210166,1507.432
212260,1507.30141
202676,1507.3008
212268,1507.28984
238065,1507.08615
214521,1507.07907
202421,1507.06345
212294,1506.69761
201427,1506.28398
203514,1505.9845
223321,1505.85149
216462,1505.82467
220662,1505.80171
243420,1505.79303
221235,1505.61896
221819,1505.35744
221105,1505.35391
239387,1505.28171
223134,1505.22191
215260,1505.1894
220392,1505.18289
223133,1505.1361
211234,1505.0861
204356,1505.01975
204362,1505.00577
221242,1504.98762
219422,1504.96909
215186,1504.8281
214541,1504.73943
221852,1504.65197
223129,1504.59575
206091,1504.54304
201652,1504.53762
215144,1504.40621
201555,1504.26579
211668,1504.20618
215125,1504.20458
214593,1504.13165
221975,1504.07709
222019,1504.0725
211456,1504.06731
214606,1504.04724
221816,1503.9948
221837,1503.98891
215091,1503.93249
216180,1503.92804
213604,1503.8864
221844,1503.86374
204291,1503.85474
214616,1503.82034
220395,1503.80898
221364,1503.80091
216235,1503.75832
214534,1503.7324
223159,1503.72184
221818,1503.68188
260339,1503.67715
212285,1503.6418
206086,1503.61874
223371,1503.61839
214632,1503.5602
214181,1503.54762
214637,1503.52588
223194,1503.47251
221979,1503.31646
213721,1503.14674
215306,1503.11066
201694,1502.70061
260277,1502.70002
213841,1502.69545
211105,1502.66667
222776,1502.66667
213628,1502.66667
215017,1502.66667
208603,1502.66667
263853,1502.66667
213972,1502.66667
212304,1502.66667
202475,1502.66667
206063,1502.66667
215123,1502.66667
213023,1502.66667
204384,1502.66667
201503,1502.66667
212302,1502.66667
210640,1502.66667
220244,1502.64744
221854,1502.64651
201683,1502.6462
254733,1502.6454
221978,1502.63545
216476,1502.62621
221811,1502.62554
206343,1502.60886
221813,1502.58545
215909,1502.38489
220732,1502.17482
202488,1501.95041
206219,1501.73931
215020,1501.50707
203456,1501.3061
214684,1501.29401
210871,1501.03299
259967,1500.94644
202453,1500.40829
203562,1500.30266
201366,1500.20157
222919,1499.59962
230870,1499.558
210622,1499.49027
215988,1499.47301
214728,1499.36755
221746,1499.35349
213908,1499.31187
221190,1499.19574
214020,1499.1936
205606,1499.18543
215806,1499.15381
215946,1499.10719
214653,1498.88937
211225,1498.85744
234222,1498.85458
222081,1498.7682
204390,1498.74612
211643,1498.71995
222866,1498.71141
260300,1498.70781
211544,1498.70495
205714,1498.7021
211887,1498.68176
215305,1498.68003
214577,1498.65898
203572,1498.63249
222145,1498.56049
264205,1498.54294
221885,1498.5235
201561,1498.46653
204309,1498.45826
202672,1498.4399
215950,1498.43769
201526,1498.42412
260847,1498.38984
239156,1498.24285
220440,1498.23411
223336,1498.18764
213926,1498.17661
220550,1498.17107
221945,1498.15453
220742,1498.14825
215832,1498.12617
225858,1498.12499
222080,1498.08514
216139,1498.0487
201424,1498.04869
214540,1498.03556
214919,1498.03303
211779,1498.03268
204376,1498.0142
211903,1498.00298
202539,1497.98847
203553,1497.98626
201653,1497.93145
230880,1497.92612
215878,1497.90593
216044,1497.89396
236956,1497.88216
202606,1497.87142
206136,1497.85127
252587,1497.76057
221383,1497.76005
202611,1497.74524
239436,1497.73535
206390,1497.715
213537,1497.68116
201387,1497.64979
214930,1497.64648
214841,1497.64571
202639,1497.64376
222667,1497.63419
201462,1497.6201
223308,1497.60526
202916,1497.59606
202445,1497.58528
204267,1497.58298
221243,1497.57714
211133,1497.5421
211351,1497.48968
212903,1497.48776
213780,1497.48063
223335,1497.46385
221984,1497.46323
202500,1497.45871
211019,1497.44642
239475,1497.44533
215588,1497.44256
220573,1497.43034
259914,1497.42865
221800,1497.4167
248660,1497.41234
221501,1497.41205
203414,1497.40316
204397,1497.40273
201589,1497.39499
219434,1497.39169
214418,1497.38953
241735,1497.38924
221801,1497.37958
215196,1497.37489
212233,1497.374
222137,1497.37195
214058,1497.37146
215868,1497.36822
236958,1497.36747
236972,1497.36697
201476,1497.36561
214123,1497.36023
223410,1497.35867
211031,1497.35717
215798,1497.35713
221820,1497.3538
222427,1497.3538
215723,1497.3538
221849,1497.35364
215755,1497.35349
216376,1497.33333
215124,1497.33333
214006,1497.33333
201638,1497.33333
212266,1497.33333
214629,1497.33333
201482,1497.33333
206060,1497.33333
214419,1497.33333
214623,1497.33333
215122,1497.33333
221817,1497.33333
214630,1497.33333
206213,1497.33333
204282,1497.33333
203290,1497.33333
201386,1497.33333
221289,1497.33333
263849,1497.33333
223136,1497.33333
210958,1497.33333
212308,1497.33333
213827,1497.33333
214842,1497.33333
202348,1497.33333
214625,1497.33333
215126,1497.33333
211404,1497.33333
221000,1497.32917
223130,1497.31634
221086,1497.31551
214501,1497.31533
215926,1497.31455
221845,1497.31271
213878,1497.31246
202640,1497.31137
202438,1497.31132
201617,1497.31021
215684,1497.30815
221126,1497.3081
201657,1497.30731
238181,1497.30665
259689,1497.30634
201423,1497.30423
220834,1497.30359
211321,1497.30321
221836,1497.30066
212293,1497.30017
214638,1497.29955
203549,1497.29819
221806,1497.29819
223140,1497.29758
215468,1497.29586
221332,1497.29515
215696,1497.29303
200773,1497.2924
211390,1497.28744
206410,1497.27502
221980,1497.27271
206216,1497.27267
260848,1497.26684
216151,1497.26516
214691,1497.26462
221850,1497.26441
221102,1497.26329
204429,1497.25885
206144,1497.25762
213634,1497.25541
203489,1497.25294
221812,1497.25149
214158,1497.24297
206433,1497.24035
202706,1497.23889
202578,1497.23638
221395,1497.23169
203591,1497.22859
220680,1497.22837
213873,1497.2071
221846,1497.19323
214487,1497.181
216579,1497.15752
203542,1497.15471
206354,1497.14241
260510,1497.13304
201656,1497.13197
220770,1497.12632
201428,1497.12134
221164,1497.11993
220845,1497.09644
206151,1497.07932
201399,1497.0763
202919,1497.06121
215277,1497.05862
206277,1497.04846
215812,1497.0315
214880,1497.01863
220572,1497.00286
221804,1497.00188
260541,1497.00024
215748,1496.98911
213899,1496.97025
221077,1496.9489
216179,1496.9482
223360,1496.94783
260913,1496.94501
202487,1496.94371
221855,1496.9183
211846,1496.90558
223120,1496.8815
202454,1496.87151
221247,1496.86591
261963,1496.85682
211574,1496.80463
259857,1496.79797
215614,1496.75895
238179,1496.75567
214604,1496.74085
215372,1496.70432
220718,1496.67031
213849,1496.66542
212043,1496.64977
239389,1496.64777
213947,1496.6402
211881,1496.6123
203236,1496.60027
201380,1496.58934
222290,1496.53571
201699,1496.52388
246476,1496.51406
214236,1496.48618
216074,1496.46856
222966,1496.45456
216367,1496.44112
214453,1496.43908
214818,1496.39332
210672,1496.37808
219310,1496.36609
202619,1496.32441
206255,1496.31657
213828,1496.25924
223135,1496.25229
216475,1496.22576
215859,1496.21894
202858,1496.21378
215019,1496.20847
203526,1496.19733
200009,1496.19019
205787,1496.15539
223331,1496.14268
213657,1496.11242
212282,1496.099
201442,1496.08523
201384,1496.07214
215786,1496.00183
216117,1495.99897
223671,1495.99004
212318,1495.98427
215672,1495.95965
212044,1495.95381
210947,1495.94439
202425,1495.88895
259753,1495.87245
212805,1495.85714
220713,1495.85503
223005,1495.84395
201533,1495.83742
215571,1495.81132
205789,1495.8004
211472,1495.77114
202921,1495.76432
202594,1495.7127
201682,1495.70563
211227,1495.68679
214247,1495.61391
222506,1495.6117
221139,1495.59436
221832,1495.5852
221883,1495.57169
202695,1495.52929
221434,1495.52861
201498,1495.5189
221824,1495.51216
210913,1495.45162
221985,1495.45084
